month,warehouse,sku_id,category,supplier,demand_plan,actual_demand,demand_variance_pct,stock_on_hand,safety_stock,reorder_point,po_number,po_qty,po_date,expected_receipt_date,po_status,closing_stock,days_of_cover,stockout_risk,unit_cost_inr,inventory_value_inr
2024-11-01,DEL,SKU-008,Household,Procter & Gamble India,4749,4557,-4.0,2541,822,1315,PO-85307,5244,2024-10-10,2024-11-07,In Transit,3228,21.3,Low,350,1129800
2024-12-01,DEL,SKU-008,Household,Dabur India,4055,3964,-2.2,5902,822,1315,,0,,,Not Raised,1938,14.7,Low,350,678300
2025-01-01,DEL,SKU-008,Household,Dabur India,3542,3122,-11.9,3625,822,1315,,0,,,Not Raised,503,4.8,High,350,176050
2025-02-01,DEL,SKU-008,Household,Nestle India,3212,3105,-3.3,5491,822,1315,,0,,,Not Raised,2386,23.1,Low,350,835100
2024-09-01,DEL,SKU-009,Household,Godrej Consumer Products,4351,3747,-13.9,3354,992,1588,PO-14301,5160,2024-08-05,2024-09-07,In Transit,4767,38.2,Low,620,2955540
2024-10-01,DEL,SKU-009,Household,Procter & Gamble India,5534,4959,-10.4,6718,992,1588,,0,,,Not Raised,1759,10.6,Medium,620,1090580
2024-11-01,DEL,SKU-009,Household,Marico Industries,5099,5228,2.5,6530,992,1588,,0,,,Not Raised,1302,7.5,Medium,620,807240
2024-12-01,DEL,SKU-009,Household,Marico Industries,5066,5401,6.6,3119,992,1588,PO-67072,6237,2024-11-15,2024-12-12,In Transit,3955,22.0,Low,620,2452100
2025-01-01,DEL,SKU-009,Household,Godrej Consumer Products,3895,3625,-6.9,5507,992,1588,,0,,,Not Raised,1882,15.6,Low,620,1166840
2025-02-01,DEL,SKU-009,Household,Dabur India,3759,3791,0.9,3705,992,1588,PO-39000,4466,2025-01-14,2025-02-12,Pending,4380,34.7,Low,620,2715600
2024-09-01,DEL,SKU-010,Household,Emami Limited,3579,3669,2.5,6419,925,1480,,0,,,Not Raised,2750,22.5,Low,275,756250
2024-10-01,DEL,SKU-010,Household,Hindustan Unilever Ltd,5410,5229,-3.3,5177,925,1480,PO-53637,6003,2024-09-14,2024-10-09,Pending,5951,34.1,Low,275,1636525
2024-11-01,DEL,SKU-010,Household,Emami Limited,4950,4438,-10.3,3214,925,1480,PO-48877,6102,2024-10-03,2024-11-14,Pending,4878,33.0,Low,275,1341450
2024-12-01,DEL,SKU-010,Household,Hindustan Unilever Ltd,4854,5135,5.8,2813,925,1480,PO-55584,5014,2024-11-13,2024-12-06,In Transit,2692,15.7,Low,275,740300
2025-01-01,DEL,SKU-010,Household,Hindustan Unilever Ltd,3824,4188,9.5,2258,925,1480,PO-83679,4929,2024-12-12,2025-01-15,In Transit,2999,21.5,Low,275,824725
2025-02-01,DEL,SKU-010,Household,Dabur India,3626,3528,-2.7,5765,925,1480,,0,,,Not Raised,2237,19.0,Low,275,615175
2024-09-01,DEL,SKU-011,Personal Care,Emami Limited,1970,2054,4.3,2171,536,858,,0,,,Not Raised,117,1.7,High,240,28080
2024-10-01,DEL,SKU-011,Personal Care,Godrej Consumer Products,2985,3233,8.3,2105,536,858,PO-66477,3340,2024-09-12,2024-10-12,Delivered,2212,20.5,Low,240,530880
2024-11-01,DEL,SKU-011,Personal Care,Marico Industries,2620,2477,-5.5,1768,536,858,PO-86988,3143,2024-10-15,2024-11-11,Delivered,2434,29.5,Low,240,584160
2024-12-01,DEL,SKU-011,Personal Care,ITC Limited,3111,2991,-3.9,3737,536,858,,0,,,Not Raised,746,7.5,Medium,240,179040
2025-01-01,DEL,SKU-011,Personal Care,Dabur India,2302,2072,-10.0,3545,536,858,,0,,,Not Raised,1473,21.3,Low,240,353520
2025-02-01,DEL,SKU-011,Personal Care,Nestle India,2182,1973,-9.6,3436,536,858,,0,,,Not Raised,1463,22.2,Low,240,351120
2024-09-01,DEL,SKU-012,Food & Beverages,Dabur India,2752,2475,-10.1,4217,694,1111,,0,,,Not Raised,1742,21.1,Low,165,287430
2024-10-01,DEL,SKU-012,Food & Beverages,ITC Limited,3980,3715,-6.7,3821,694,1111,,0,,,Not Raised,106,0.9,High,165,17490
2024-11-01,DEL,SKU-012,Food & Beverages,ITC Limited,3843,3739,-2.7,3959,694,1111,,0,,,Not Raised,220,1.8,High,165,36300
2024-12-01,DEL,SKU-012,Food & Beverages,Emami Limited,3523,3231,-8.3,4211,694,1111,,0,,,Not Raised,980,9.1,Medium,165,161700
2025-01-01,DEL,SKU-012,Food & Beverages,Emami Limited,2654,2505,-5.6,2733,694,1111,,0,,,Not Raised,228,2.7,High,165,37620
2025-02-01,DEL,SKU-012,Food & Beverages,Nestle India,2928,2670,-8.8,4375,694,1111,,0,,,Not Raised,1705,19.2,Low,165,281325
2024-09-01,DEL,SKU-013,Household,Marico Industries,2786,2918,4.7,4387,651,1042,,0,,,Not Raised,1469,15.1,Low,410,602290
2024-10-01,DEL,SKU-013,Household,ITC Limited,3193,3254,1.9,1859,651,1042,PO-31996,4140,2024-09-13,2024-10-10,Pending,2745,25.3,Low,410,1125450
2024-11-01,DEL,SKU-013,Household,Dabur India,3576,3435,-3.9,3488,651,1042,,0,,,Not Raised,53,0.5,High,410,21730
2024-12-01,DEL,SKU-013,Household,Dabur India,3196,3387,6.0,3443,651,1042,,0,,,Not Raised,56,0.5,High,410,22960
2025-01-01,DEL,SKU-013,Household,ITC Limited,2473,2576,4.2,4529,651,1042,,0,,,Not Raised,1953,22.7,Low,410,800730
2025-02-01,DEL,SKU-013,Household,Marico Industries,2767,2970,7.3,3175,651,1042,,0,,,Not Raised,205,2.1,High,410,84050
2024-09-01,DEL,SKU-014,Personal Care,Hindustan Unilever Ltd,2447,2447,0.0,1420,582,931,PO-53214,2457,2024-08-17,2024-09-11,Pending,1430,17.5,Low,115,164450
2024-10-01,DEL,SKU-014,Personal Care,Procter & Gamble India,3365,3625,7.7,2816,582,931,PO-47043,3916,2024-09-08,2024-10-06,Delivered,3107,25.7,Low,115,357305
2024-11-01,DEL,SKU-014,Personal Care,ITC Limited,3277,2806,-14.4,4175,582,931,,0,,,Not Raised,1369,14.6,Low,115,157435
2024-12-01,DEL,SKU-014,Personal Care,Emami Limited,3266,3505,7.3,2345,582,931,PO-87504,4227,2024-11-09,2024-12-11,Pending,3067,26.3,Low,115,352705
2025-01-01,DEL,SKU-014,Personal Care,Procter & Gamble India,2371,2391,0.8,4084,582,931,,0,,,Not Raised,1693,21.2,Low,115,194695
2025-02-01,DEL,SKU-014,Personal Care,Dabur India,2561,2239,-12.6,3358,582,931,,0,,,Not Raised,1119,15.0,Low,115,128685
2024-09-01,DEL,SKU-015,Food & Beverages,ITC Limited,1319,1414,7.2,2352,335,536,,0,,,Not Raised,938,19.9,Low,540,506520
2024-10-01,DEL,SKU-015,Food & Beverages,Nestle India,1688,1838,8.9,1273,335,536,PO-76285,1905,2024-09-02,2024-10-12,In Transit,1340,21.9,Low,540,723600
2024-11-01,DEL,SKU-015,Food & Beverages,Godrej Consumer Products,1672,1716,2.6,1971,335,536,,0,,,Not Raised,255,4.5,High,540,137700
2024-12-01,DEL,SKU-015,Food & Beverages,Dabur India,1835,1956,6.6,1443,335,536,PO-86649,1922,2024-11-02,2024-12-10,Pending,1409,21.6,Low,540,760860
2025-01-01,DEL,SKU-015,Food & Beverages,Nestle India,1449,1494,3.1,1769,335,536,,0,,,Not Raised,275,5.5,High,540,148500
2025-02-01,DEL,SKU-015,Food & Beverages,Emami Limited,1312,1397,6.5,1044,335,536,PO-58423,1408,2025-01-15,2025-02-10,Pending,1055,22.7,Low,540,569700
2024-09-01,DEL,SKU-016,Household,ITC Limited,3565,3642,2.2,4330,906,1450,,0,,,Not Raised,688,5.7,High,890,612320
2024-10-01,DEL,SKU-016,Household,Dabur India,5147,4877,-5.2,4310,906,1450,PO-85327,6475,2024-09-13,2024-10-09,Delivered,5908,36.3,Low,890,5258120
2024-11-01,DEL,SKU-016,Household,ITC Limited,5014,5326,6.2,3493,906,1450,PO-62158,6408,2024-10-05,2024-11-10,Pending,4575,25.8,Low,890,4071750
2024-12-01,DEL,SKU-016,Household,Nestle India,4669,4014,-14.0,3852,906,1450,PO-39636,5895,2024-11-06,2024-12-09,Delivered,5733,42.8,Low,890,5102370
2025-01-01,DEL,SKU-016,Household,Marico Industries,3279,3603,9.9,6495,906,1450,,0,,,Not Raised,2892,24.1,Low,890,2573880
2025-02-01,DEL,SKU-016,Household,Godrej Consumer Products,3542,3093,-12.7,2985,906,1450,PO-57584,3646,2025-01-11,2025-02-16,Pending,3538,34.3,Low,890,3148820
2024-09-01,DEL,SKU-017,Personal Care,Hindustan Unilever Ltd,2557,2378,-7.0,2758,640,1025,,0,,,Not Raised,380,4.8,High,380,144400
2024-10-01,DEL,SKU-017,Personal Care,Godrej Consumer Products,3590,3819,6.4,2153,640,1025,PO-45559,3854,2024-09-15,2024-10-14,Delivered,2188,17.2,Low,380,831440
2024-11-01,DEL,SKU-017,Personal Care,Marico Industries,3552,3841,8.1,4122,640,1025,,0,,,Not Raised,281,2.2,High,380,106780
2024-12-01,DEL,SKU-017,Personal Care,Emami Limited,3470,3255,-6.2,3216,640,1025,PO-58875,4000,2024-11-11,2024-12-06,In Transit,3961,36.5,Low,380,1505180
2025-01-01,DEL,SKU-017,Personal Care,Emami Limited,2501,2248,-10.1,2677,640,1025,,0,,,Not Raised,429,5.7,High,380,163020
2025-02-01,DEL,SKU-017,Personal Care,Procter & Gamble India,2722,2961,8.8,2877,640,1025,PO-20866,2855,2025-01-10,2025-02-12,Pending,2771,28.1,Low,380,1052980
2024-09-01,DEL,SKU-018,Food & Beverages,Godrej Consumer Products,2669,2582,-3.3,2205,628,1006,PO-54461,2872,2024-08-11,2024-09-15,Pending,2495,29.0,Low,225,561375
2024-10-01,DEL,SKU-018,Food & Beverages,Hindustan Unilever Ltd,3486,3372,-3.3,3202,628,1006,PO-21525,4268,2024-09-15,2024-10-08,Delivered,4098,36.5,Low,225,922050
2024-11-01,DEL,SKU-018,Food & Beverages,Hindustan Unilever Ltd,3640,3546,-2.6,3555,628,1006,,0,,,Not Raised,9,0.1,High,225,2025
2024-12-01,DEL,SKU-018,Food & Beverages,Dabur India,3341,3310,-0.9,2604,628,1006,PO-45056,4257,2024-11-12,2024-12-12,Pending,3551,32.2,Low,225,798975
2025-01-01,DEL,SKU-018,Food & Beverages,Dabur India,2492,2602,4.4,3521,628,1006,,0,,,Not Raised,919,10.6,Medium,225,206775
2025-02-01,DEL,SKU-018,Food & Beverages,Procter & Gamble India,2311,2472,7.0,3448,628,1006,,0,,,Not Raised,976,11.8,Medium,225,219600
2024-09-01,DEL,SKU-019,Household,Emami Limited,3171,2719,-14.3,2663,774,1238,PO-71428,4074,2024-08-14,2024-09-14,In Transit,4018,44.3,Low,560,2250080
2024-10-01,DEL,SKU-019,Household,Emami Limited,4477,4518,0.9,5158,774,1238,,0,,,Not Raised,640,4.2,High,560,358400
2024-11-01,DEL,SKU-019,Household,ITC Limited,4296,4682,9.0,2812,774,1238,PO-20416,4917,2024-10-13,2024-11-06,Pending,3047,19.5,Low,560,1706320
2024-12-01,DEL,SKU-019,Household,Marico Industries,4314,3733,-13.5,1863,774,1238,PO-83113,4612,2024-11-08,2024-12-09,Pending,2742,22.0,Low,560,1535520
2025-01-01,DEL,SKU-019,Household,Godrej Consumer Products,2893,2471,-14.6,2173,774,1238,PO-94456,3367,2024-12-02,2025-01-13,Pending,3069,37.3,Low,560,1718640
2025-02-01,DEL,SKU-019,Household,Dabur India,2923,3117,6.6,4632,774,1238,,0,,,Not Raised,1515,14.6,Low,560,848400
2024-09-01,DEL,SKU-020,Personal Care,Nestle India,1843,1716,-6.9,2601,496,794,,0,,,Not Raised,885,15.5,Low,195,172575
2024-10-01,DEL,SKU-020,Personal Care,Marico Industries,2484,2190,-11.8,3300,496,794,,0,,,Not Raised,1110,15.2,Low,195,216450
2024-11-01,DEL,SKU-020,Personal Care,Hindustan Unilever Ltd,2668,2781,4.2,2278,496,794,PO-31607,2869,2024-10-03,2024-11-16,In Transit,2366,25.5,Low,195,461370
2024-12-01,DEL,SKU-020,Personal Care,Dabur India,2946,2988,1.4,2433,496,794,PO-78987,3721,2024-11-11,2024-12-07,Delivered,3166,31.8,Low,195,617370
2025-01-01,DEL,SKU-020,Personal Care,Marico Industries,1910,2098,9.8,1733,496,794,PO-81043,2126,2024-12-10,2025-01-15,In Transit,1761,25.2,Low,195,343395
2025-02-01,DEL,SKU-020,Personal Care,Procter & Gamble India,2117,2261,6.8,1611,496,794,PO-58300,2614,2025-01-08,2025-02-13,In Transit,1964,26.1,Low,195,382980
2024-09-01,DEL,SKU-021,Food & Beverages,Procter & Gamble India,3189,3341,4.8,3006,772,1235,PO-99452,3909,2024-08-16,2024-09-12,Pending,3574,32.1,Low,300,1072200
2024-10-01,DEL,SKU-021,Food & Beverages,Dabur India,4244,4165,-1.9,2748,772,1235,PO-63385,5065,2024-09-15,2024-10-08,In Transit,3648,26.3,Low,300,1094400
2024-11-01,DEL,SKU-021,Food & Beverages,Marico Industries,3820,3647,-4.5,4319,772,1235,,0,,,Not Raised,672,5.5,High,300,201600
2024-12-01,DEL,SKU-021,Food & Beverages,Marico Industries,4246,3916,-7.8,4619,772,1235,,0,,,Not Raised,703,5.4,High,300,210900
2025-01-01,DEL,SKU-021,Food & Beverages,Emami Limited,3178,3118,-1.9,4793,772,1235,,0,,,Not Raised,1675,16.1,Low,300,502500
2025-02-01,DEL,SKU-021,Food & Beverages,Procter & Gamble India,2913,2777,-4.7,5261,772,1235,,0,,,Not Raised,2484,26.8,Low,300,745200
2024-09-01,DEL,SKU-022,Household,Godrej Consumer Products,1084,1009,-6.9,1476,252,404,,0,,,Not Raised,467,13.9,Medium,740,345580
2024-10-01,DEL,SKU-022,Household,Procter & Gamble India,1493,1487,-0.4,1459,252,404,PO-92910,1521,2024-09-06,2024-10-13,Delivered,1493,30.1,Low,740,1104820
2024-11-01,DEL,SKU-022,Household,Emami Limited,1317,1326,0.7,711,252,404,PO-28040,1427,2024-10-11,2024-11-13,In Transit,812,18.4,Low,740,600880
2024-12-01,DEL,SKU-022,Household,Emami Limited,1336,1201,-10.1,1715,252,404,,0,,,Not Raised,514,12.8,Medium,740,380360
2025-01-01,DEL,SKU-022,Household,Marico Industries,1087,1019,-6.3,1534,252,404,,0,,,Not Raised,515,15.2,Low,740,381100
2025-02-01,DEL,SKU-022,Household,Nestle India,1046,1038,-0.8,1464,252,404,,0,,,Not Raised,426,12.3,Medium,740,315240
2024-09-01,DEL,SKU-023,Personal Care,ITC Limited,1792,1879,4.9,1053,422,675,PO-43491,2087,2024-08-14,2024-09-06,Delivered,1261,20.1,Low,270,340470
2024-10-01,DEL,SKU-023,Personal Care,Hindustan Unilever Ltd,2132,2247,5.4,2365,422,675,,0,,,Not Raised,118,1.6,High,270,31860
2024-11-01,DEL,SKU-023,Personal Care,Hindustan Unilever Ltd,2230,2073,-7.0,1664,422,675,PO-84063,2446,2024-10-07,2024-11-07,In Transit,2037,29.5,Low,270,549990
2024-12-01,DEL,SKU-023,Personal Care,Hindustan Unilever Ltd,2369,2277,-3.9,2293,422,675,,0,,,Not Raised,16,0.2,High,270,4320
2025-01-01,DEL,SKU-023,Personal Care,Godrej Consumer Products,1743,1485,-14.8,2457,422,675,,0,,,Not Raised,972,19.6,Low,270,262440
2025-02-01,DEL,SKU-023,Personal Care,Dabur India,1693,1643,-3.0,1384,422,675,PO-87216,1772,2025-01-12,2025-02-13,Pending,1513,27.6,Low,270,408510
2024-09-01,DEL,SKU-024,Food & Beverages,Nestle India,3852,3682,-4.4,5097,882,1411,,0,,,Not Raised,1415,11.5,Medium,180,254700
2024-10-01,DEL,SKU-024,Food & Beverages,ITC Limited,4877,5140,5.4,2957,882,1411,PO-86850,4942,2024-09-05,2024-10-07,In Transit,2759,16.1,Low,180,496620
2024-11-01,DEL,SKU-024,Food & Beverages,Godrej Consumer Products,4730,4899,3.6,2388,882,1411,PO-40410,5655,2024-10-09,2024-11-09,Delivered,3144,19.3,Low,180,565920
2024-12-01,DEL,SKU-024,Food & Beverages,Dabur India,5187,5009,-3.4,4978,882,1411,PO-27049,6244,2024-11-01,2024-12-13,Delivered,6213,37.2,Low,180,1118340
2025-01-01,DEL,SKU-024,Food & Beverages,ITC Limited,3449,3649,5.8,3535,882,1411,PO-11189,4332,2024-12-07,2025-01-06,Delivered,4218,34.7,Low,180,759240
2025-02-01,DEL,SKU-024,Food & Beverages,ITC Limited,3387,3426,1.2,3970,882,1411,,0,,,Not Raised,544,4.8,High,180,97920
2024-09-01,DEL,SKU-025,Household,Nestle India,3646,3527,-3.3,4495,958,1533,,0,,,Not Raised,968,8.2,Medium,980,948640
2024-10-01,DEL,SKU-025,Household,ITC Limited,5554,4762,-14.3,5926,958,1533,,0,,,Not Raised,1164,7.3,Medium,980,1140720
2024-11-01,DEL,SKU-025,Household,Emami Limited,5630,6180,9.8,5042,958,1533,PO-89199,6443,2024-10-09,2024-11-12,In Transit,5305,25.8,Low,980,5198900
2024-12-01,DEL,SKU-025,Household,Nestle India,5446,5762,5.8,3555,958,1533,PO-47988,5693,2024-11-14,2024-12-13,Delivered,3486,18.1,Low,980,3416280
2025-01-01,DEL,SKU-025,Household,Procter & Gamble India,4038,3804,-5.8,4246,958,1533,,0,,,Not Raised,442,3.5,High,980,433160
2025-02-01,DEL,SKU-025,Household,Godrej Consumer Products,4049,4186,3.4,3302,958,1533,PO-28927,4472,2025-01-11,2025-02-12,Pending,3588,25.7,Low,980,3516240
2024-09-01,DEL,SKU-026,Personal Care,Emami Limited,1296,1207,-6.9,1366,301,481,,0,,,Not Raised,159,4.0,High,155,24645
2024-10-01,DEL,SKU-026,Personal Care,Marico Industries,1622,1508,-7.0,737,301,481,PO-33050,2093,2024-09-14,2024-10-06,Pending,1322,26.3,Low,155,204910
2024-11-01,DEL,SKU-026,Personal Care,Marico Industries,1632,1478,-9.4,1582,301,481,,0,,,Not Raised,104,2.1,High,155,16120
2024-12-01,DEL,SKU-026,Personal Care,ITC Limited,1736,1591,-8.4,1771,301,481,,0,,,Not Raised,180,3.4,High,155,27900
2025-01-01,DEL,SKU-026,Personal Care,Procter & Gamble India,1127,1064,-5.6,1098,301,481,,0,,,Not Raised,34,1.0,High,155,5270
2025-02-01,DEL,SKU-026,Personal Care,Godrej Consumer Products,1241,1262,1.7,1064,301,481,PO-61703,1528,2025-01-05,2025-02-08,In Transit,1330,31.6,Low,155,206150
2024-09-01,DEL,SKU-027,Food & Beverages,Hindustan Unilever Ltd,2650,2421,-8.6,3305,637,1020,,0,,,Not Raised,884,11.0,Medium,360,318240
2024-10-01,DEL,SKU-027,Food & Beverages,Godrej Consumer Products,3499,3029,-13.4,3381,637,1020,,0,,,Not Raised,352,3.5,High,360,126720
2024-11-01,DEL,SKU-027,Food & Beverages,Nestle India,3369,3699,9.8,2196,637,1020,PO-25482,3385,2024-10-05,2024-11-09,In Transit,1882,15.3,Low,360,677520
2024-12-01,DEL,SKU-027,Food & Beverages,Emami Limited,3643,3145,-13.7,3607,637,1020,,0,,,Not Raised,462,4.4,High,360,166320
2025-01-01,DEL,SKU-027,Food & Beverages,Hindustan Unilever Ltd,2427,2333,-3.9,2944,637,1020,,0,,,Not Raised,611,7.9,Medium,360,219960
2025-02-01,DEL,SKU-027,Food & Beverages,ITC Limited,2739,2902,6.0,3064,637,1020,,0,,,Not Raised,162,1.7,High,360,58320
2024-09-01,DEL,SKU-028,Household,Procter & Gamble India,1509,1529,1.3,2435,401,641,,0,,,Not Raised,906,17.8,Low,290,262740
2024-10-01,DEL,SKU-028,Household,Godrej Consumer Products,2327,2378,2.2,1879,401,641,PO-30983,2768,2024-09-09,2024-10-15,In Transit,2269,28.6,Low,290,658010
2024-11-01,DEL,SKU-028,Household,Emami Limited,2157,2172,0.7,1276,401,641,PO-67759,2675,2024-10-07,2024-11-15,Pending,1779,24.6,Low,290,515910
2024-12-01,DEL,SKU-028,Household,Nestle India,2148,2200,2.4,1606,401,641,PO-87046,2340,2024-11-15,2024-12-13,Delivered,1746,23.8,Low,290,506340
2025-01-01,DEL,SKU-028,Household,ITC Limited,1738,1644,-5.4,2435,401,641,,0,,,Not Raised,791,14.4,Low,290,229390
