shipment_id,sku,warehouse,date,expqty,rcvqty,idnqty,shift,team
SHP-00027,SKU-012,DEL,2025-02-20,1513,1513,1513,Shift A,Team 2
SHP-00028,SKU-012,MUM,2024-11-11,1692,1612,1612,Shift C,Team 2
SHP-00029,SKU-012,MUM,2024-09-06,1083,1083,1083,Shift A,Team 1
SHP-00030,SKU-023,BLR,2024-11-21,805,805,805,Shift C,Team 2
SHP-00031,SKU-020,BLR,2025-01-21,1540,1566,1566,Shift A,Team 2
SHP-00032,SKU-011,BLR,2024-11-14,391,391,391,Shift A,Team 2
SHP-00033,SKU-007,DEL,2025-02-07,1671,1671,1671,Shift A,Team 2
SHP-00034,SKU-002,DEL,2024-10-18,1341,1341,1341,Shift A,Team 2
SHP-00035,SKU-029,BLR,2025-02-11,525,525,525,Shift A,Team 1
SHP-00036,SKU-008,BLR,2024-11-12,756,756,756,Shift B,Team 1
SHP-00037,SKU-014,DEL,2024-12-17,997,997,997,Shift B,Team 2
SHP-00038,SKU-026,MUM,2024-12-19,1435,1435,1435,Shift C,Team 1
SHP-00039,SKU-019,BLR,2025-01-01,1355,1355,1355,Shift A,Team 1
SHP-00040,SKU-029,MUM,2024-10-27,976,976,976,Shift B,Team 3
SHP-00041,SKU-008,BLR,2024-10-31,608,608,608,Shift C,Team 2
SHP-00042,SKU-024,DEL,2024-12-06,1671,1684,1684,Shift A,Team 3
SHP-00043,SKU-025,BLR,2024-10-23,817,817,817,Shift B,Team 3
SHP-00044,SKU-014,MUM,2025-01-09,1884,1884,1884,Shift B,Team 3
SHP-00045,SKU-015,DEL,2025-01-13,1092,1092,1092,Shift A,Team 2
SHP-00046,SKU-001,MUM,2025-01-25,1212,1212,1212,Shift B,Team 2
SHP-00047,SKU-025,BLR,2024-09-07,692,692,692,Shift A,Team 3
SHP-00048,SKU-018,DEL,2024-11-20,1287,1287,1287,Shift B,Team 2
SHP-00049,SKU-007,MUM,2024-10-05,643,643,643,Shift C,Team 3
SHP-00050,SKU-023,DEL,2024-11-01,1293,1293,1293,Shift C,Team 2
SHP-00051,SKU-002,BLR,2024-09-05,717,717,717,Shift A,Team 1
SHP-00052,SKU-008,BLR,2024-10-12,442,442,442,Shift A,Team 1
SHP-00053,SKU-025,MUM,2025-02-01,625,625,625,Shift C,Team 3
SHP-00054,SKU-002,DEL,2024-12-27,674,674,674,Shift B,Team 1
SHP-00055,SKU-003,BLR,2024-10-01,322,322,322,Shift C,Team 3
SHP-00056,SKU-020,MUM,2025-01-08,281,281,281,Shift A,Team 3
SHP-00057,SKU-030,BLR,2025-01-28,769,769,769,Shift B,Team 1
SHP-00058,SKU-022,MUM,2024-11-25,1020,1020,1020,Shift C,Team 3
SHP-00059,SKU-021,MUM,2024-12-31,1105,1105,1105,Shift B,Team 3
SHP-00060,SKU-023,BLR,2024-09-10,524,514,514,Shift C,Team 3
SHP-00061,SKU-009,DEL,2025-02-14,1050,1050,1050,Shift C,Team 1
SHP-00062,SKU-011,BLR,2024-11-12,1813,1813,1813,Shift B,Team 1
SHP-00063,SKU-015,BLR,2024-12-25,859,825,825,Shift A,Team 1
SHP-00064,SKU-013,MUM,2025-01-03,1559,1559,1559,Shift A,Team 1
SHP-00065,SKU-028,BLR,2024-12-24,1540,1540,1540,Shift B,Team 2
SHP-00066,SKU-025,DEL,2024-12-10,1199,1199,1199,Shift A,Team 1
SHP-00067,SKU-010,DEL,2024-09-28,259,259,259,Shift A,Team 2
SHP-00068,SKU-028,BLR,2024-10-19,983,983,983,Shift B,Team 3
SHP-00069,SKU-012,MUM,2024-12-30,1403,1403,1403,Shift B,Team 2
SHP-00070,SKU-010,MUM,2024-11-01,1632,1632,1632,Shift C,Team 3
SHP-00071,SKU-026,BLR,2025-01-10,921,921,921,Shift C,Team 1
SHP-00072,SKU-015,BLR,2025-02-09,268,268,268,Shift A,Team 2
SHP-00073,SKU-027,DEL,2024-12-07,1186,1186,1186,Shift B,Team 3
SHP-00074,SKU-009,DEL,2024-12-05,1298,1298,1298,Shift A,Team 2
SHP-00075,SKU-021,MUM,2025-01-03,329,329,329,Shift A,Team 2
SHP-00076,SKU-005,DEL,2024-10-02,995,995,995,Shift C,Team 2
SHP-00077,SKU-008,MUM,2025-02-08,1951,1951,1951,Shift A,Team 3
SHP-00078,SKU-003,DEL,2024-10-22,1557,1557,1557,Shift A,Team 1
SHP-00079,SKU-005,DEL,2025-01-22,1815,1815,1815,Shift A,Team 1
SHP-00080,SKU-019,DEL,2024-09-07,863,863,863,Shift A,Team 1
SHP-00081,SKU-024,DEL,2024-12-06,1804,1804,1804,Shift C,Team 3
SHP-00082,SKU-029,MUM,2024-10-02,365,365,365,Shift C,Team 2
SHP-00083,SKU-023,BLR,2025-02-01,434,434,434,Shift C,Team 2
SHP-00084,SKU-011,DEL,2024-12-29,1074,1071,1071,Shift A,Team 1
SHP-00085,SKU-018,DEL,2024-09-27,1350,1350,1350,Shift A,Team 1
SHP-00086,SKU-017,BLR,2025-02-04,635,635,635,Shift C,Team 3
SHP-00087,SKU-020,MUM,2025-01-24,1547,1547,1547,Shift A,Team 2
SHP-00088,SKU-013,MUM,2024-10-18,342,338,338,Shift A,Team 1
SHP-00089,SKU-003,MUM,2024-10-13,307,310,310,Shift B,Team 3
SHP-00090,SKU-017,MUM,2024-12-25,433,433,433,Shift B,Team 3
SHP-00091,SKU-009,DEL,2024-09-18,792,792,792,Shift A,Team 2
SHP-00092,SKU-001,DEL,2024-12-13,1141,1141,1141,Shift C,Team 2
SHP-00093,SKU-023,MUM,2024-12-15,941,941,941,Shift B,Team 1
SHP-00094,SKU-017,MUM,2024-10-31,1496,1496,1496,Shift A,Team 2
SHP-00095,SKU-003,DEL,2024-10-10,562,562,562,Shift A,Team 1
SHP-00096,SKU-021,BLR,2024-10-12,820,820,820,Shift B,Team 3
SHP-00097,SKU-017,DEL,2024-11-16,987,987,987,Shift A,Team 1
SHP-00098,SKU-004,DEL,2025-01-06,1860,1860,1860,Shift B,Team 2
SHP-00099,SKU-014,BLR,2025-01-16,1786,1786,1786,Shift B,Team 3
SHP-00100,SKU-003,MUM,2025-02-22,1393,1393,1393,Shift A,Team 3
SHP-00101,SKU-027,BLR,2025-01-25,1713,1713,1713,Shift C,Team 2
SHP-00102,SKU-007,DEL,2024-10-22,663,663,663,Shift C,Team 1
SHP-00103,SKU-025,BLR,2025-02-08,1479,1479,1479,Shift A,Team 2
SHP-00104,SKU-008,DEL,2024-11-15,1293,1293,1293,Shift A,Team 1
SHP-00105,SKU-020,MUM,2024-12-09,483,483,483,Shift C,Team 3
SHP-00106,SKU-029,BLR,2024-09-25,1251,1251,1251,Shift C,Team 2
SHP-00107,SKU-011,MUM,2025-01-09,402,402,402,Shift A,Team 2
SHP-00108,SKU-009,MUM,2024-12-27,641,641,641,Shift A,Team 1
SHP-00109,SKU-027,DEL,2024-09-14,1223,1223,1223,Shift C,Team 3
SHP-00110,SKU-022,MUM,2024-12-02,1568,1568,1568,Shift A,Team 1
SHP-00111,SKU-012,BLR,2025-01-01,1814,1814,1814,Shift C,Team 2
SHP-00112,SKU-027,DEL,2025-01-21,1795,1795,1795,Shift C,Team 1
SHP-00113,SKU-010,BLR,2024-11-17,1255,1255,1255,Shift B,Team 3
SHP-00114,SKU-012,MUM,2025-02-16,1094,1094,1094,Shift C,Team 3
SHP-00115,SKU-027,MUM,2024-11-11,569,569,569,Shift A,Team 3
SHP-00116,SKU-028,BLR,2024-12-25,922,922,922,Shift C,Team 1
SHP-00117,SKU-008,BLR,2024-10-08,1794,1794,1794,Shift C,Team 1
SHP-00118,SKU-013,MUM,2024-09-22,843,843,843,Shift A,Team 2
SHP-00119,SKU-016,MUM,2024-11-09,609,609,609,Shift C,Team 2
SHP-00120,SKU-010,DEL,2024-09-20,1943,1943,1943,Shift B,Team 2
SHP-00121,SKU-018,DEL,2025-01-06,465,465,465,Shift B,Team 2
SHP-00122,SKU-015,BLR,2025-01-29,1154,1154,1154,Shift B,Team 3
SHP-00123,SKU-030,DEL,2024-09-17,1652,1652,1652,Shift C,Team 1
SHP-00124,SKU-017,BLR,2025-02-10,1512,1512,1512,Shift A,Team 1
SHP-00125,SKU-019,BLR,2024-09-14,742,727,727,Shift C,Team 1
SHP-00126,SKU-013,BLR,2025-01-04,809,809,809,Shift B,Team 2
SHP-00127,SKU-017,MUM,2024-11-23,1350,1350,1350,Shift C,Team 2
SHP-00128,SKU-027,DEL,2025-02-10,870,892,892,Shift C,Team 1
SHP-00129,SKU-019,MUM,2025-01-11,922,922,922,Shift A,Team 2
SHP-00130,SKU-025,DEL,2024-10-07,1025,1025,1025,Shift A,Team 3
SHP-00131,SKU-004,DEL,2024-12-27,463,463,463,Shift A,Team 3
SHP-00132,SKU-011,DEL,2024-09-15,1846,1846,1846,Shift A,Team 2
SHP-00133,SKU-018,MUM,2025-02-07,1203,1203,1203,Shift B,Team 1
SHP-00134,SKU-024,MUM,2025-02-04,305,305,305,Shift A,Team 1
SHP-00135,SKU-014,BLR,2025-01-27,1614,1614,1614,Shift B,Team 3
SHP-00136,SKU-017,DEL,2024-10-31,971,942,942,Shift C,Team 3
SHP-00137,SKU-025,BLR,2025-01-08,791,791,791,Shift B,Team 1
SHP-00138,SKU-029,BLR,2024-10-05,1008,1008,1008,Shift B,Team 1
SHP-00139,SKU-030,DEL,2025-02-17,1351,1351,1351,Shift A,Team 2
SHP-00140,SKU-016,BLR,2024-09-16,405,405,405,Shift C,Team 1
SHP-00141,SKU-019,MUM,2024-11-14,675,675,675,Shift A,Team 3
SHP-00142,SKU-029,DEL,2024-10-22,276,276,276,Shift B,Team 1
SHP-00143,SKU-015,BLR,2025-01-10,1527,1527,1527,Shift A,Team 3
SHP-00144,SKU-004,DEL,2025-01-12,578,578,578,Shift C,Team 2
SHP-00145,SKU-002,MUM,2025-01-31,1567,1567,1567,Shift B,Team 1
SHP-00146,SKU-008,BLR,2025-02-13,648,648,648,Shift B,Team 2
SHP-00147,SKU-026,BLR,2025-02-21,367,367,367,Shift C,Team 3
SHP-00148,SKU-017,BLR,2025-01-18,1104,1104,1104,Shift A,Team 1
SHP-00149,SKU-010,DEL,2025-01-11,1681,1681,1681,Shift B,Team 3
SHP-00150,SKU-030,MUM,2025-01-18,1166,1166,1166,Shift B,Team 2
SHP-00151,SKU-022,MUM,2024-12-27,1991,1991,1991,Shift C,Team 3
SHP-00152,SKU-022,BLR,2024-09-07,1672,1672,1672,Shift A,Team 1
SHP-00153,SKU-007,DEL,2025-02-19,337,337,337,Shift A,Team 3
SHP-00154,SKU-028,BLR,2024-12-23,1789,1789,1789,Shift B,Team 3
SHP-00155,SKU-009,MUM,2024-11-20,324,310,310,Shift C,Team 2
SHP-00156,SKU-005,DEL,2025-01-15,814,814,814,Shift B,Team 3
SHP-00157,SKU-008,BLR,2024-09-18,722,722,722,Shift A,Team 3
SHP-00158,SKU-028,DEL,2024-12-08,349,349,349,Shift A,Team 3
SHP-00159,SKU-030,MUM,2024-10-31,696,696,696,Shift C,Team 2
SHP-00160,SKU-017,MUM,2025-02-17,1218,1218,1218,Shift B,Team 1
SHP-00161,SKU-030,MUM,2024-09-14,1396,1396,1396,Shift A,Team 3
SHP-00162,SKU-027,DEL,2025-02-18,1200,1253,1253,Shift B,Team 1
SHP-00163,SKU-027,DEL,2025-01-09,1934,1934,1934,Shift C,Team 2
SHP-00164,SKU-012,BLR,2024-10-10,323,323,323,Shift A,Team 2
SHP-00165,SKU-027,BLR,2024-09-06,1629,1629,1629,Shift A,Team 2
SHP-00166,SKU-026,DEL,2025-01-17,1012,1061,1061,Shift B,Team 2
SHP-00167,SKU-023,MUM,2024-09-25,550,550,550,Shift B,Team 1
SHP-00168,SKU-019,BLR,2024-10-27,1173,1173,1173,Shift C,Team 2
SHP-00169,SKU-006,MUM,2025-02-03,1354,1354,1354,Shift B,Team 3
SHP-00170,SKU-014,BLR,2025-01-08,675,675,675,Shift A,Team 3
SHP-00171,SKU-019,DEL,2025-01-06,1553,1553,1553,Shift B,Team 1
SHP-00172,SKU-001,DEL,2024-12-11,831,831,831,Shift C,Team 1
SHP-00173,SKU-028,BLR,2024-09-08,988,988,988,Shift A,Team 2
SHP-00174,SKU-016,DEL,2024-10-16,498,498,498,Shift A,Team 1
SHP-00175,SKU-013,MUM,2025-02-02,880,880,880,Shift B,Team 2
SHP-00176,SKU-011,BLR,2024-11-24,563,563,563,Shift C,Team 2
SHP-00177,SKU-019,BLR,2024-12-11,1317,1317,1317,Shift A,Team 3
SHP-00178,SKU-010,MUM,2024-12-15,695,695,695,Shift A,Team 2
SHP-00179,SKU-012,MUM,2025-01-11,1636,1636,1636,Shift C,Team 3
SHP-00180,SKU-013,MUM,2024-09-14,1741,1741,1741,Shift B,Team 1
SHP-00181,SKU-012,BLR,2024-12-07,250,250,250,Shift B,Team 1
SHP-00182,SKU-012,MUM,2024-12-28,1175,1175,1175,Shift A,Team 2
SHP-00183,SKU-017,BLR,2024-11-30,557,557,557,Shift A,Team 3
SHP-00184,SKU-007,DEL,2024-12-13,1120,1120,1120,Shift C,Team 3
SHP-00185,SKU-016,DEL,2024-10-21,1280,1280,1280,Shift C,Team 2
SHP-00186,SKU-010,MUM,2024-10-18,1458,1458,1458,Shift B,Team 1
SHP-00187,SKU-021,MUM,2024-12-12,1300,1300,1300,Shift A,Team 3
SHP-00188,SKU-001,DEL,2025-02-09,1192,1192,1192,Shift B,Team 1
SHP-00189,SKU-002,MUM,2025-01-05,762,762,762,Shift A,Team 1
SHP-00190,SKU-012,BLR,2024-10-02,1310,1310,1310,Shift A,Team 1
SHP-00191,SKU-004,BLR,2024-09-11,1788,1788,1788,Shift B,Team 2
SHP-00192,SKU-007,BLR,2025-02-08,1849,1849,1849,Shift B,Team 2
SHP-00193,SKU-005,BLR,2025-01-26,1736,1736,1736,Shift C,Team 3
SHP-00194,SKU-016,DEL,2024-11-05,491,491,491,Shift A,Team 1
SHP-00195,SKU-019,DEL,2024-11-14,205,205,205,Shift B,Team 1
SHP-00196,SKU-016,BLR,2025-01-18,749,749,749,Shift A,Team 2
SHP-00197,SKU-006,MUM,2024-09-28,1103,1103,1103,Shift B,Team 3
SHP-00198,SKU-003,BLR,2024-11-12,961,961,961,Shift A,Team 1
SHP-00199,SKU-022,DEL,2024-09-26,1111,1111,1111,Shift B,Team 3
SHP-00200,SKU-010,DEL,2024-09-29,480,480,480,Shift C,Team 2
SHP-00201,SKU-030,BLR,2025-02-16,1043,1043,1043,Shift A,Team 3
SHP-00202,SKU-009,DEL,2024-12-22,1520,1520,1520,Shift B,Team 2
SHP-00203,SKU-002,BLR,2024-10-24,1805,1805,1805,Shift B,Team 1
SHP-00204,SKU-013,BLR,2024-09-07,1962,1905,1905,Shift A,Team 1
SHP-00205,SKU-017,DEL,2024-09-25,786,786,786,Shift A,Team 1
SHP-00206,SKU-007,BLR,2024-09-26,1854,1854,1854,Shift A,Team 2
SHP-00207,SKU-015,BLR,2024-12-24,1453,1453,1453,Shift A,Team 2
SHP-00208,SKU-024,DEL,2024-12-01,730,730,730,Shift C,Team 3
SHP-00209,SKU-016,DEL,2024-11-11,1132,1132,1132,Shift C,Team 2
SHP-00210,SKU-001,DEL,2025-01-13,700,700,700,Shift C,Team 3
SHP-00211,SKU-019,BLR,2024-11-24,963,963,963,Shift B,Team 3
SHP-00212,SKU-010,DEL,2024-12-30,870,870,870,Shift A,Team 3
SHP-00213,SKU-018,BLR,2024-12-07,1757,1757,1757,Shift A,Team 2
SHP-00214,SKU-024,BLR,2024-09-03,1689,1689,1689,Shift A,Team 3
SHP-00215,SKU-012,DEL,2024-09-14,1138,1138,1138,Shift A,Team 1
SHP-00216,SKU-028,DEL,2025-02-19,845,806,806,Shift A,Team 3
SHP-00217,SKU-018,DEL,2024-10-01,933,933,933,Shift C,Team 3
SHP-00218,SKU-003,DEL,2024-09-16,1656,1656,1656,Shift B,Team 1
SHP-00219,SKU-026,DEL,2024-12-27,486,486,486,Shift C,Team 1
SHP-00220,SKU-001,BLR,2025-02-01,332,332,332,Shift B,Team 1
SHP-00221,SKU-016,MUM,2024-12-30,260,260,260,Shift B,Team 1
SHP-00222,SKU-010,MUM,2025-02-06,1221,1221,1221,Shift B,Team 2
SHP-00223,SKU-012,DEL,2024-09-08,1358,1358,1358,Shift C,Team 1
SHP-00224,SKU-008,MUM,2025-01-16,526,526,526,Shift A,Team 2
SHP-00225,SKU-019,DEL,2024-12-12,851,851,851,Shift C,Team 3
SHP-00226,SKU-018,BLR,2024-10-25,832,832,832,Shift B,Team 2
SHP-00227,SKU-002,MUM,2025-02-11,244,244,244,Shift B,Team 2
SHP-00228,SKU-010,MUM,2025-02-20,860,860,860,Shift C,Team 1
SHP-00229,SKU-005,DEL,2025-02-20,563,563,563,Shift B,Team 1
SHP-00230,SKU-020,BLR,2025-02-04,652,652,652,Shift A,Team 3
SHP-00231,SKU-011,MUM,2025-02-12,1114,1114,1114,Shift C,Team 1
SHP-00232,SKU-016,DEL,2024-12-27,975,975,975,Shift A,Team 3
SHP-00233,SKU-004,BLR,2024-12-27,351,351,351,Shift B,Team 2
SHP-00234,SKU-014,DEL,2025-02-07,1538,1538,1538,Shift C,Team 2
SHP-00235,SKU-019,DEL,2025-01-20,1325,1325,1325,Shift B,Team 3
SHP-00236,SKU-010,BLR,2024-09-27,367,367,367,Shift B,Team 1
SHP-00237,SKU-015,DEL,2024-12-05,739,739,739,Shift A,Team 2
SHP-00238,SKU-002,DEL,2024-12-18,1921,1921,1921,Shift B,Team 2
SHP-00239,SKU-017,DEL,2024-09-23,1839,1839,1839,Shift C,Team 2
SHP-00240,SKU-022,DEL,2024-10-05,1091,1091,1091,Shift C,Team 1
SHP-00241,SKU-028,DEL,2025-01-23,225,225,225,Shift B,Team 2
SHP-00242,SKU-028,DEL,2025-01-25,1296,1296,1296,Shift C,Team 2
SHP-00243,SKU-013,MUM,2024-11-11,2000,2000,2000,Shift B,Team 3
SHP-00244,SKU-028,MUM,2025-01-06,666,666,666,Shift B,Team 2
SHP-00245,SKU-028,MUM,2024-12-25,965,965,965,Shift B,Team 2
SHP-00246,SKU-002,DEL,2024-10-21,710,710,710,Shift B,Team 2
SHP-00247,SKU-019,MUM,2024-09-13,1329,1329,1329,Shift C,Team 2
SHP-00248,SKU-007,DEL,2024-10-14,1955,1955,1955,Shift C,Team 1
SHP-00249,SKU-026,BLR,2024-10-06,825,825,825,Shift C,Team 2
SHP-00250,SKU-020,MUM,2024-12-31,1013,1013,1013,Shift C,Team 2
SHP-00251,SKU-023,MUM,2024-09-18,1534,1534,1534,Shift A,Team 2
SHP-00252,SKU-010,BLR,2024-10-07,731,746,746,Shift A,Team 3
SHP-00253,SKU-010,DEL,2025-01-16,1931,1931,1931,Shift B,Team 2
SHP-00254,SKU-003,BLR,2024-10-20,655,655,655,Shift B,Team 3
SHP-00255,SKU-016,MUM,2024-10-05,598,598,598,Shift B,Team 3
SHP-00256,SKU-015,DEL,2024-11-28,493,493,493,Shift B,Team 2
SHP-00257,SKU-016,MUM,2024-12-27,1808,1808,1808,Shift C,Team 1
SHP-00258,SKU-001,MUM,2024-09-11,859,859,859,Shift C,Team 3
SHP-00259,SKU-002,DEL,2024-10-06,810,810,810,Shift C,Team 1
SHP-00260,SKU-030,BLR,2025-01-06,1862,1862,1862,Shift A,Team 3
SHP-00261,SKU-020,DEL,2025-02-16,299,299,299,Shift A,Team 2
SHP-00262,SKU-023,DEL,2024-12-10,513,513,513,Shift C,Team 1
SHP-00263,SKU-020,BLR,2025-02-05,441,441,441,Shift A,Team 2
SHP-00264,SKU-016,BLR,2024-12-17,625,625,625,Shift C,Team 1
SHP-00265,SKU-021,DEL,2024-09-27,673,673,673,Shift B,Team 3
SHP-00266,SKU-028,DEL,2024-11-23,1752,1752,1752,Shift C,Team 3
SHP-00267,SKU-027,MUM,2024-12-10,989,989,989,Shift B,Team 1
SHP-00268,SKU-026,DEL,2024-09-29,1365,1301,1301,Shift C,Team 3
SHP-00269,SKU-011,BLR,2025-01-05,225,225,225,Shift C,Team 2
SHP-00270,SKU-014,BLR,2025-01-15,1555,1555,1555,Shift A,Team 1
SHP-00271,SKU-006,BLR,2025-02-13,353,353,353,Shift C,Team 1
SHP-00272,SKU-019,BLR,2024-11-02,1117,1117,1117,Shift B,Team 1
SHP-00273,SKU-020,DEL,2024-12-16,1505,1505,1505,Shift C,Team 1
SHP-00274,SKU-020,MUM,2024-12-28,1168,1168,1168,Shift C,Team 3
SHP-00275,SKU-029,DEL,2025-02-12,536,536,536,Shift A,Team 3
SHP-00276,SKU-011,DEL,2024-12-29,420,420,420,Shift A,Team 2
SHP-00277,SKU-016,BLR,2024-09-06,1241,1241,1241,Shift B,Team 3
SHP-00278,SKU-009,MUM,2024-12-13,1014,1014,1014,Shift C,Team 3
SHP-00279,SKU-020,BLR,2024-11-23,1663,1663,1663,Shift A,Team 2
SHP-00280,SKU-022,BLR,2024-12-01,1654,1654,1654,Shift B,Team 2
SHP-00281,SKU-006,DEL,2024-12-08,786,786,786,Shift C,Team 1
SHP-00282,SKU-024,BLR,2024-12-27,1350,1350,1350,Shift B,Team 2
SHP-00283,SKU-018,BLR,2024-12-10,310,310,310,Shift C,Team 3
SHP-00284,SKU-024,DEL,2025-01-20,596,596,596,Shift A,Team 3
SHP-00285,SKU-001,DEL,2024-12-21,876,876,876,Shift B,Team 3
SHP-00286,SKU-023,BLR,2025-01-28,850,850,850,Shift A,Team 3
SHP-00287,SKU-007,BLR,2024-12-01,1741,1741,1741,Shift B,Team 3
SHP-00288,SKU-020,BLR,2024-11-04,699,699,699,Shift C,Team 3
SHP-00289,SKU-017,MUM,2024-11-14,1112,1112,1112,Shift B,Team 1
SHP-00290,SKU-028,DEL,2024-10-25,1603,1603,1603,Shift B,Team 1
SHP-00291,SKU-026,MUM,2024-09-09,715,715,715,Shift A,Team 2
SHP-00292,SKU-001,MUM,2024-09-08,1513,1513,1513,Shift B,Team 2
SHP-00293,SKU-027,BLR,2024-11-19,1553,1553,1553,Shift A,Team 3
SHP-00294,SKU-001,BLR,2024-11-22,1333,1333,1333,Shift C,Team 2
SHP-00295,SKU-021,BLR,2024-10-27,1943,1943,1943,Shift C,Team 3
SHP-00296,SKU-022,DEL,2024-12-30,337,337,337,Shift B,Team 2
SHP-00297,SKU-020,BLR,2024-11-14,1550,1550,1550,Shift A,Team 1
SHP-00298,SKU-024,MUM,2024-11-21,1512,1512,1512,Shift A,Team 3
SHP-00299,SKU-009,MUM,2024-11-21,1958,1958,1958,Shift C,Team 2
SHP-00300,SKU-019,BLR,2025-01-10,1029,1029,1029,Shift A,Team 1
SHP-00301,SKU-005,BLR,2024-12-06,1151,1151,1151,Shift A,Team 3
SHP-00302,SKU-019,BLR,2024-10-08,1550,1550,1550,Shift A,Team 2
SHP-00303,SKU-013,DEL,2024-12-06,1161,1161,1161,Shift B,Team 2
SHP-00304,SKU-021,BLR,2025-01-29,975,975,975,Shift B,Team 1
SHP-00305,SKU-005,DEL,2024-11-30,1100,1100,1100,Shift C,Team 2
SHP-00306,SKU-016,BLR,2024-12-18,1582,1582,1582,Shift C,Team 1
SHP-00307,SKU-002,DEL,2025-02-02,540,540,540,Shift A,Team 1
SHP-00308,SKU-006,BLR,2024-10-31,649,649,649,Shift B,Team 3
SHP-00309,SKU-001,MUM,2024-12-29,614,614,614,Shift C,Team 2
SHP-00310,SKU-022,BLR,2025-01-10,466,466,466,Shift A,Team 2
SHP-00311,SKU-012,MUM,2025-01-16,1406,1406,1406,Shift C,Team 1
SHP-00312,SKU-007,DEL,2025-02-03,211,211,211,Shift C,Team 1
SHP-00313,SKU-028,BLR,2024-12-17,1297,1297,1297,Shift A,Team 2
SHP-00314,SKU-010,BLR,2024-12-07,1383,1383,1383,Shift B,Team 3
SHP-00315,SKU-022,BLR,2024-10-27,1647,1647,1647,Shift C,Team 3
SHP-00316,SKU-020,BLR,2024-09-18,277,277,277,Shift B,Team 3
SHP-00317,SKU-007,BLR,2025-02-17,268,268,268,Shift B,Team 2
SHP-00318,SKU-022,DEL,2024-09-25,1009,1009,1009,Shift A,Team 1
SHP-00319,SKU-007,BLR,2025-01-31,1131,1131,1131,Shift A,Team 1
SHP-00320,SKU-023,DEL,2024-10-05,1106,1106,1106,Shift A,Team 2
SHP-00321,SKU-008,BLR,2024-09-11,1586,1586,1586,Shift C,Team 3
SHP-00322,SKU-011,MUM,2024-09-27,355,355,355,Shift B,Team 3
SHP-00323,SKU-027,DEL,2024-10-24,711,711,711,Shift C,Team 1
SHP-00324,SKU-002,BLR,2024-09-05,1936,1936,1936,Shift A,Team 3
SHP-00325,SKU-018,BLR,2024-10-30,266,266,266,Shift B,Team 3
SHP-00326,SKU-004,MUM,2024-09-06,866,866,866,Shift A,Team 2
SHP-00327,SKU-028,BLR,2024-10-21,1020,1020,1020,Shift B,Team 1
SHP-00328,SKU-005,BLR,2025-01-24,1838,1838,1838,Shift A,Team 3
SHP-00329,SKU-006,BLR,2024-11-18,322,322,322,Shift C,Team 1
SHP-00330,SKU-022,MUM,2024-09-08,1440,1440,1440,Shift A,Team 2
SHP-00331,SKU-006,MUM,2024-09-23,1511,1511,1511,Shift B,Team 2
SHP-00332,SKU-023,DEL,2024-11-01,747,747,747,Shift C,Team 3
SHP-00333,SKU-024,BLR,2024-10-16,1635,1635,1635,Shift A,Team 2
SHP-00334,SKU-009,MUM,2024-12-14,1465,1465,1465,Shift C,Team 1
