shipment_id,arrdte,last_rcpt_conf_dte,last_upd_dt,warehouse,supplier_code,sku,received_qty,invoice_no,shift,team
SHP-00052,2024-10-12 19:42:55,2024-10-12 21:39:48,2024-10-12 22:33:33,BLR,SUP-005,SKU-008,442,INV-552663,Shift A,Team 1
SHP-00053,2025-02-01 12:54:55,2025-02-01 13:25:48,2025-02-01 18:42:07,MUM,SUP-003,SKU-025,625,INV-308983,Shift C,Team 3
SHP-00054,2024-12-27 18:21:21,2024-12-27 20:15:50,2024-12-27 22:48:21,DEL,SUP-001,SKU-002,674,INV-476731,Shift B,Team 1
SHP-00055,2024-10-01 14:44:10,2024-10-01 16:22:42,2024-10-01 21:30:29,BLR,SUP-001,SKU-003,322,INV-119056,Shift C,Team 3
SHP-00056,2025-01-08 16:07:56,2025-01-08 17:49:20,2025-01-08 19:53:37,MUM,SUP-007,SKU-020,281,INV-575463,Shift A,Team 3
SHP-00057,2025-01-28 08:04:27,2025-01-28 08:34:53,2025-01-28 10:14:29,BLR,SUP-002,SKU-030,769,INV-227211,Shift B,Team 1
SHP-00058,2024-11-25 14:06:10,2024-11-25 14:36:24,2024-11-25 18:02:23,MUM,SUP-002,SKU-022,1020,INV-503159,Shift C,Team 3
SHP-00059,2024-12-31 12:45:29,2024-12-31 14:29:20,2024-12-31 18:01:29,MUM,SUP-008,SKU-021,1105,INV-311331,Shift B,Team 3
SHP-00060,2024-09-10 18:33:03,2024-09-10 20:03:38,2024-09-11 01:02:27,BLR,SUP-008,SKU-023,524,INV-875959,Shift C,Team 3
SHP-00061,2025-02-14 20:50:33,2025-02-14 21:21:21,2025-02-14 22:36:40,DEL,SUP-006,SKU-009,1050,INV-414784,Shift C,Team 1
SHP-00062,2024-11-12 20:09:17,2024-11-12 21:57:16,2024-11-13 03:18:41,BLR,SUP-008,SKU-011,1813,INV-370546,Shift B,Team 1
SHP-00063,2024-12-25 15:53:42,2024-12-25 16:25:46,2024-12-25 17:38:19,BLR,SUP-005,SKU-015,859,INV-817537,Shift A,Team 1
SHP-00064,2025-01-03 19:33:04,2025-01-03 21:23:11,2025-01-03 23:39:30,MUM,SUP-004,SKU-013,1559,INV-567318,Shift A,Team 1
SHP-00065,2024-12-24 08:11:19,2024-12-24 08:48:59,2024-12-24 12:49:44,BLR,SUP-006,SKU-028,1540,INV-828029,Shift B,Team 2
SHP-00066,2024-12-10 13:36:39,2024-12-10 15:14:59,2024-12-10 18:07:06,DEL,SUP-005,SKU-025,1199,INV-257371,Shift A,Team 1
SHP-00067,2024-09-28 20:09:49,2024-09-28 21:52:16,2024-09-29 01:28:45,DEL,SUP-002,SKU-010,259,INV-480652,Shift A,Team 2
SHP-00068,2024-10-19 09:18:00,2024-10-19 10:12:59,2024-10-19 15:22:33,BLR,SUP-008,SKU-028,983,INV-437276,Shift B,Team 3
SHP-00069,2024-12-30 21:40:22,2024-12-30 22:32:54,2024-12-31 02:48:58,MUM,SUP-005,SKU-012,1403,INV-524067,Shift B,Team 2
SHP-00070,2024-11-01 13:11:16,2024-11-01 13:46:06,2024-11-01 15:34:38,MUM,SUP-003,SKU-010,1632,INV-379966,Shift C,Team 3
SHP-00071,2025-01-10 21:36:17,2025-01-10 22:18:50,2025-01-10 23:12:04,BLR,SUP-002,SKU-026,921,INV-822173,Shift C,Team 1
SHP-00072,2025-02-09 17:18:12,2025-02-09 18:46:56,2025-02-10 00:19:38,BLR,SUP-005,SKU-015,268,INV-101183,Shift A,Team 2
SHP-00073,2024-12-07 15:47:04,2024-12-07 17:04:51,2024-12-07 18:07:44,DEL,SUP-002,SKU-027,1186,INV-621017,Shift B,Team 3
SHP-00074,2024-12-05 08:40:27,2024-12-05 09:22:42,2024-12-05 12:07:22,DEL,SUP-006,SKU-009,1298,INV-768124,Shift A,Team 2
SHP-00075,2025-01-03 07:29:00,2025-01-03 09:24:35,2025-01-03 10:51:10,MUM,SUP-008,SKU-021,329,INV-118241,Shift A,Team 2
SHP-00076,2024-10-02 09:14:19,2024-10-02 10:40:06,2024-10-02 11:15:42,DEL,SUP-003,SKU-005,995,INV-678457,Shift C,Team 2
SHP-00077,2025-02-08 13:24:40,2025-02-08 14:05:08,2025-02-08 15:33:15,MUM,SUP-002,SKU-008,1951,INV-758864,Shift A,Team 3
SHP-00078,2024-10-22 08:25:36,2024-10-22 09:26:44,2024-10-22 15:46:26,DEL,SUP-007,SKU-003,1557,INV-219980,Shift A,Team 1
SHP-00079,2025-01-22 10:11:59,2025-01-22 10:57:32,2025-01-22 14:29:15,DEL,SUP-007,SKU-005,1815,INV-528236,Shift A,Team 1
SHP-00080,2024-09-07 13:07:00,2024-09-07 14:27:33,2024-09-07 15:07:42,DEL,SUP-008,SKU-019,863,INV-190875,Shift A,Team 1
SHP-00081,2024-12-06 15:22:49,2024-12-06 16:59:55,2024-12-06 21:13:14,DEL,SUP-003,SKU-024,1804,INV-695379,Shift C,Team 3
SHP-00082,2024-10-02 14:26:15,2024-10-02 15:27:50,2024-10-02 18:30:03,MUM,SUP-005,SKU-029,365,INV-658211,Shift C,Team 2
SHP-00083,2025-02-01 15:27:10,2025-02-01 17:03:21,2025-02-01 17:01:19,BLR,SUP-006,SKU-023,434,INV-335288,Shift C,Team 2
SHP-00084,2024-12-29 14:23:21,2024-12-29 15:58:38,2024-12-29 17:45:41,DEL,SUP-005,SKU-011,1074,INV-786913,Shift A,Team 1
SHP-00085,2024-09-27 18:36:41,2024-09-27 19:44:23,2024-09-28 01:58:56,DEL,SUP-005,SKU-018,1350,INV-501415,Shift A,Team 1
SHP-00086,2025-02-04 10:52:36,2025-02-04 11:52:34,2025-02-04 16:06:33,BLR,SUP-008,SKU-017,635,INV-854113,Shift C,Team 3
SHP-00087,2025-01-24 19:49:49,2025-01-24 21:46:35,2025-01-25 03:13:42,MUM,SUP-003,SKU-020,1547,INV-372077,Shift A,Team 2
SHP-00088,2024-10-18 20:23:12,2024-10-18 21:31:10,2024-10-19 01:14:12,MUM,SUP-007,SKU-013,342,INV-660734,Shift A,Team 1
SHP-00089,2024-10-13 12:56:27,2024-10-13 14:34:34,2024-10-13 20:04:55,MUM,SUP-003,SKU-003,307,INV-966176,Shift B,Team 3
SHP-00090,2024-12-25 14:15:49,2024-12-25 15:21:17,2024-12-25 21:28:47,MUM,SUP-007,SKU-017,433,INV-988462,Shift B,Team 3
SHP-00091,2024-09-18 08:06:52,2024-09-18 10:01:00,2024-09-18 14:28:11,DEL,SUP-007,SKU-009,792,INV-260057,Shift A,Team 2
SHP-00092,2024-12-13 21:12:55,2024-12-13 23:09:00,2024-12-14 04:37:00,DEL,SUP-008,SKU-001,1141,INV-528626,Shift C,Team 2
SHP-00093,2024-12-15 08:01:06,2024-12-15 09:47:05,2024-12-15 12:34:56,MUM,SUP-005,SKU-023,941,INV-596296,Shift B,Team 1
SHP-00094,2024-10-31 13:16:31,2024-10-31 14:38:33,2024-10-31 18:44:58,MUM,SUP-006,SKU-017,1496,INV-115775,Shift A,Team 2
SHP-00095,2024-10-10 11:27:55,2024-10-10 12:07:43,2024-10-10 18:48:54,DEL,SUP-008,SKU-003,562,INV-415974,Shift A,Team 1
SHP-00096,2024-10-12 14:47:03,2024-10-12 16:34:49,2024-10-12 17:41:45,BLR,SUP-005,SKU-021,820,INV-156253,Shift B,Team 3
SHP-00097,2024-11-16 08:45:03,2024-11-16 10:21:33,2024-11-16 12:45:59,DEL,SUP-003,SKU-017,987,INV-215828,Shift A,Team 1
SHP-00098,2025-01-06 15:54:54,2025-01-06 17:22:15,2025-01-06 19:25:58,DEL,SUP-006,SKU-004,1860,INV-271575,Shift B,Team 2
SHP-00099,2025-01-16 16:36:17,2025-01-16 17:21:46,2025-01-16 21:33:13,BLR,SUP-005,SKU-014,1786,INV-939940,Shift B,Team 3
SHP-00100,2025-02-22 21:17:05,2025-02-22 22:56:04,2025-02-23 03:41:42,MUM,SUP-008,SKU-003,1393,INV-911713,Shift A,Team 3
SHP-00101,2025-01-25 13:52:43,2025-01-25 15:10:31,2025-01-25 18:40:52,BLR,SUP-001,SKU-027,1713,INV-998812,Shift C,Team 2
SHP-00102,2024-10-22 10:51:56,2024-10-22 11:42:13,2024-10-22 13:46:00,DEL,SUP-005,SKU-007,663,INV-624752,Shift C,Team 1
SHP-00103,2025-02-08 09:32:57,2025-02-08 10:50:29,2025-02-08 15:23:35,BLR,SUP-007,SKU-025,1479,INV-662917,Shift A,Team 2
SHP-00104,2024-11-15 19:18:38,2024-11-15 21:06:36,2024-11-15 23:14:30,DEL,SUP-002,SKU-008,1293,INV-956223,Shift A,Team 1
SHP-00105,2024-12-09 16:22:02,2024-12-09 17:06:31,2024-12-09 18:57:27,MUM,SUP-005,SKU-020,483,INV-305597,Shift C,Team 3
SHP-00106,2024-09-25 18:56:47,2024-09-25 20:38:58,2024-09-25 22:07:12,BLR,SUP-001,SKU-029,1251,INV-224218,Shift C,Team 2
SHP-00107,2025-01-09 13:10:35,2025-01-09 14:35:36,2025-01-09 14:58:56,MUM,SUP-007,SKU-011,402,INV-104394,Shift A,Team 2
SHP-00108,2024-12-27 16:27:46,2024-12-27 18:01:59,2024-12-27 18:48:59,MUM,SUP-007,SKU-009,641,INV-155439,Shift A,Team 1
SHP-00109,2024-09-14 10:14:08,2024-09-14 12:14:06,2024-09-14 12:42:53,DEL,SUP-008,SKU-027,1223,INV-677512,Shift C,Team 3
SHP-00110,2024-12-02 10:13:12,2024-12-02 12:09:26,2024-12-02 15:20:47,MUM,SUP-005,SKU-022,1568,INV-134009,Shift A,Team 1
SHP-00111,2025-01-01 08:23:11,2025-01-01 10:17:30,2025-01-01 11:40:24,BLR,SUP-004,SKU-012,1814,INV-212132,Shift C,Team 2
SHP-00112,2025-01-21 13:03:59,2025-01-21 14:27:04,2025-01-21 19:03:06,DEL,SUP-007,SKU-027,1795,INV-147801,Shift C,Team 1
SHP-00113,2024-11-17 10:51:34,2024-11-17 12:29:45,2024-11-17 17:40:02,BLR,SUP-003,SKU-010,1255,INV-897504,Shift B,Team 3
SHP-00114,2025-02-16 13:16:09,2025-02-16 15:14:09,2025-02-16 19:03:39,MUM,SUP-005,SKU-012,1094,INV-203307,Shift C,Team 3
SHP-00115,2024-11-11 19:16:59,2024-11-11 21:15:02,2024-11-11 22:29:33,MUM,SUP-006,SKU-027,569,INV-482372,Shift A,Team 3
SHP-00116,2024-12-25 12:37:22,2024-12-25 13:25:55,2024-12-25 14:50:45,BLR,SUP-004,SKU-028,922,INV-454101,Shift C,Team 1
SHP-00117,2024-10-08 21:31:02,2024-10-08 22:03:04,2024-10-09 03:15:15,BLR,SUP-008,SKU-008,1794,INV-647971,Shift C,Team 1
SHP-00118,2024-09-22 16:31:53,2024-09-22 18:12:01,2024-09-22 20:51:41,MUM,SUP-001,SKU-013,843,INV-849793,Shift A,Team 2
SHP-00119,2024-11-09 18:36:24,2024-11-09 19:43:48,2024-11-09 20:46:42,MUM,SUP-002,SKU-016,609,INV-917047,Shift C,Team 2
SHP-00120,2024-09-20 16:24:26,2024-09-20 17:08:21,2024-09-20 23:45:46,DEL,SUP-007,SKU-010,1943,INV-363522,Shift B,Team 2
SHP-00121,2025-01-06 07:36:39,2025-01-06 08:54:51,2025-01-06 13:45:37,DEL,SUP-004,SKU-018,465,INV-142276,Shift B,Team 2
SHP-00122,2025-01-29 08:59:15,2025-01-29 09:38:48,2025-01-29 13:50:44,BLR,SUP-003,SKU-015,1154,INV-937045,Shift B,Team 3
SHP-00123,2024-09-17 20:26:24,2024-09-17 22:01:27,2024-09-17 22:01:47,DEL,SUP-006,SKU-030,1652,INV-588135,Shift C,Team 1
SHP-00124,2025-02-10 12:09:13,2025-02-10 13:37:50,2025-02-10 13:44:31,BLR,SUP-005,SKU-017,1512,INV-303585,Shift A,Team 1
SHP-00125,2024-09-14 20:39:36,2024-09-14 22:36:21,2024-09-15 03:25:05,BLR,SUP-002,SKU-019,742,INV-509681,Shift C,Team 1
SHP-00126,2025-01-04 11:21:12,2025-01-04 12:25:48,2025-01-04 17:35:21,BLR,SUP-007,SKU-013,809,INV-678275,Shift B,Team 2
SHP-00127,2024-11-23 18:26:47,2024-11-23 19:56:46,2024-11-23 21:30:14,MUM,SUP-008,SKU-017,1350,INV-815380,Shift C,Team 2
SHP-00128,2025-02-10 12:55:39,2025-02-10 14:21:25,2025-02-10 14:49:31,DEL,SUP-006,SKU-027,870,INV-830838,Shift C,Team 1
SHP-00129,2025-01-11 06:45:23,2025-01-11 07:20:19,2025-01-11 08:47:35,MUM,SUP-007,SKU-019,922,INV-412676,Shift A,Team 2
SHP-00130,2024-10-07 20:46:52,2024-10-07 22:00:05,2024-10-07 22:43:02,DEL,SUP-004,SKU-025,1025,INV-481659,Shift A,Team 3
SHP-00131,2024-12-27 20:15:21,2024-12-27 21:08:34,2024-12-28 00:53:31,DEL,SUP-005,SKU-004,463,INV-989753,Shift A,Team 3
SHP-00132,2024-09-15 07:20:26,2024-09-15 08:00:33,2024-09-15 13:19:44,DEL,SUP-004,SKU-011,1846,INV-705958,Shift A,Team 2
SHP-00133,2025-02-07 18:28:56,2025-02-07 19:25:17,2025-02-07 23:13:59,MUM,SUP-001,SKU-018,1203,INV-110715,Shift B,Team 1
SHP-00134,2025-02-04 14:58:51,2025-02-04 16:22:54,2025-02-04 20:54:44,MUM,SUP-001,SKU-024,305,INV-431761,Shift A,Team 1
SHP-00135,2025-01-27 17:43:24,2025-01-27 18:46:33,2025-01-27 20:06:27,BLR,SUP-008,SKU-014,1614,INV-854655,Shift B,Team 3
SHP-00136,2024-10-31 15:16:10,2024-10-31 16:21:06,2024-10-31 20:04:11,DEL,SUP-004,SKU-017,971,INV-342313,Shift C,Team 3
SHP-00137,2025-01-08 10:34:29,2025-01-08 11:25:26,2025-01-08 17:14:59,BLR,SUP-002,SKU-025,791,INV-103292,Shift B,Team 1
SHP-00138,2024-10-05 16:37:51,2024-10-05 18:27:05,2024-10-05 23:03:07,BLR,SUP-008,SKU-029,1008,INV-541042,Shift B,Team 1
SHP-00139,2025-02-17 12:09:40,2025-02-17 13:53:29,2025-02-17 16:36:16,DEL,SUP-007,SKU-030,1351,INV-997080,Shift A,Team 2
SHP-00140,2024-09-16 08:24:53,2024-09-16 09:44:32,2024-09-16 12:44:58,BLR,SUP-002,SKU-016,405,INV-243461,Shift C,Team 1
SHP-00141,2024-11-14 12:17:39,2024-11-14 14:09:20,2024-11-14 19:13:45,MUM,SUP-002,SKU-019,675,INV-240494,Shift A,Team 3
SHP-00142,2024-10-22 22:02:36,2024-10-22 23:23:15,2024-10-23 01:46:33,DEL,SUP-006,SKU-029,276,INV-479878,Shift B,Team 1
SHP-00143,2025-01-10 13:51:06,2025-01-10 15:45:36,2025-01-10 17:36:36,BLR,SUP-008,SKU-015,1527,INV-268586,Shift A,Team 3
SHP-00144,2025-01-12 12:45:48,2025-01-12 13:29:37,2025-01-12 16:33:48,DEL,SUP-007,SKU-004,578,INV-895217,Shift C,Team 2
SHP-00145,2025-01-31 18:47:37,2025-01-31 19:55:41,2025-02-01 00:55:26,MUM,SUP-003,SKU-002,1567,INV-138460,Shift B,Team 1
SHP-00146,2025-02-13 21:06:19,2025-02-13 21:38:46,2025-02-14 01:15:16,BLR,SUP-008,SKU-008,648,INV-228453,Shift B,Team 2
SHP-00147,2025-02-21 20:26:15,2025-02-21 22:04:11,2025-02-22 02:46:14,BLR,SUP-004,SKU-026,367,INV-604526,Shift C,Team 3
SHP-00148,2025-01-18 09:08:37,2025-01-18 09:47:25,2025-01-18 11:00:39,BLR,SUP-004,SKU-017,1104,INV-655825,Shift A,Team 1
SHP-00149,2025-01-11 13:05:33,2025-01-11 14:02:14,2025-01-11 19:55:28,DEL,SUP-005,SKU-010,1681,INV-627700,Shift B,Team 3
SHP-00150,2025-01-18 07:33:28,2025-01-18 08:19:46,2025-01-18 11:48:43,MUM,SUP-003,SKU-030,1166,INV-448474,Shift B,Team 2
SHP-00151,2024-12-27 20:41:16,2024-12-27 21:47:31,2024-12-28 02:17:57,MUM,SUP-008,SKU-022,1991,INV-294968,Shift C,Team 3
SHP-00152,2024-09-07 19:11:22,2024-09-07 21:11:06,2024-09-08 01:41:35,BLR,SUP-007,SKU-022,1672,INV-362848,Shift A,Team 1
SHP-00153,2025-02-19 14:10:29,2025-02-19 16:00:48,2025-02-19 18:20:48,DEL,SUP-003,SKU-007,337,INV-601465,Shift A,Team 3
SHP-00154,2024-12-23 11:09:23,2024-12-23 12:09:50,2024-12-23 13:53:44,BLR,SUP-007,SKU-028,1789,INV-599004,Shift B,Team 3
SHP-00155,2024-11-20 20:58:36,2024-11-20 22:22:56,2024-11-20 23:18:25,MUM,SUP-007,SKU-009,324,INV-857109,Shift C,Team 2
SHP-00156,2025-01-15 13:14:27,2025-01-15 14:21:02,2025-01-15 18:23:07,DEL,SUP-001,SKU-005,814,INV-936062,Shift B,Team 3
SHP-00157,2024-09-18 15:31:24,2024-09-18 16:48:30,2024-09-18 22:32:04,BLR,SUP-004,SKU-008,722,INV-284932,Shift A,Team 3
SHP-00158,2024-12-08 17:29:10,2024-12-08 18:32:31,2024-12-08 20:59:38,DEL,SUP-001,SKU-028,349,INV-463701,Shift A,Team 3
SHP-00159,2024-10-31 21:51:28,2024-10-31 23:36:33,2024-11-01 02:30:25,MUM,SUP-008,SKU-030,696,INV-309730,Shift C,Team 2
SHP-00160,2025-02-17 12:18:27,2025-02-17 14:14:35,2025-02-17 18:15:39,MUM,SUP-008,SKU-017,1218,INV-549906,Shift B,Team 1
SHP-00161,2024-09-14 17:31:24,2024-09-14 19:02:46,2024-09-14 20:54:32,MUM,SUP-007,SKU-030,1396,INV-572102,Shift A,Team 3
SHP-00162,2025-02-18 17:32:42,2025-02-18 18:56:17,2025-02-18 21:53:13,DEL,SUP-006,SKU-027,1200,INV-460984,Shift B,Team 1
SHP-00163,2025-01-09 10:31:24,2025-01-09 11:08:19,2025-01-09 14:38:28,DEL,SUP-001,SKU-027,1934,INV-352958,Shift C,Team 2
SHP-00164,2024-10-10 07:01:54,2024-10-10 07:48:11,2024-10-10 09:24:53,BLR,SUP-007,SKU-012,323,INV-885990,Shift A,Team 2
SHP-00165,2024-09-06 16:19:33,2024-09-06 17:05:46,2024-09-06 22:11:51,BLR,SUP-003,SKU-027,1629,INV-774721,Shift A,Team 2
SHP-00166,2025-01-17 12:37:13,2025-01-17 14:15:46,2025-01-17 14:44:24,DEL,SUP-006,SKU-026,1012,INV-782883,Shift B,Team 2
SHP-00167,2024-09-25 13:03:35,2024-09-25 15:00:46,2024-09-25 18:12:01,MUM,SUP-003,SKU-023,550,INV-159985,Shift B,Team 1
SHP-00168,2024-10-27 21:35:15,2024-10-27 22:54:08,2024-10-28 02:47:18,BLR,SUP-005,SKU-019,1173,INV-977815,Shift C,Team 2
SHP-00169,2025-02-03 09:51:43,2025-02-03 10:42:40,2025-02-03 14:49:29,MUM,SUP-002,SKU-006,1354,INV-976133,Shift B,Team 3
SHP-00170,2025-01-08 19:04:34,2025-01-08 20:27:11,2025-01-08 20:37:24,BLR,SUP-003,SKU-014,675,INV-131025,Shift A,Team 3
SHP-00171,2025-01-06 10:43:10,2025-01-06 12:39:40,2025-01-06 14:41:55,DEL,SUP-001,SKU-019,1553,INV-200301,Shift B,Team 1
SHP-00172,2024-12-11 13:07:35,2024-12-11 14:01:46,2024-12-11 18:41:53,DEL,SUP-001,SKU-001,831,INV-542816,Shift C,Team 1
