trndte,trlr_id,yard_loc,warehouse,shift
2024-11-12 19:24:17,TRL-9541,YARD,BLR,Shift B
2024-11-12 20:29:04,TRL-9541,DOCK,BLR,Shift B
2024-12-25 14:41:42,TRL-3618,YARD,BLR,Shift A
2024-12-25 15:01:37,TRL-3618,DOCK,BLR,Shift A
2025-01-03 17:41:04,TRL-1682,YARD,MUM,Shift A
2025-01-03 18:20:07,TRL-1682,DOCK,MUM,Shift A
2024-12-24 07:09:19,TRL-1460,YARD,BLR,Shift B
2024-12-24 08:37:02,TRL-1460,DOCK,BLR,Shift B
2024-12-10 12:50:39,TRL-9786,YARD,DEL,Shift A
2024-12-10 13:33:46,TRL-9786,DOCK,DEL,Shift A
2024-09-28 19:04:49,TRL-5187,YARD,DEL,Shift A
2024-09-28 20:08:05,TRL-5187,DOCK,DEL,Shift A
2024-10-19 07:43:00,TRL-2097,YARD,BLR,Shift B
2024-10-19 08:24:04,TRL-2097,DOCK,BLR,Shift B
2024-12-30 20:24:22,TRL-6360,YARD,MUM,Shift B
2024-12-30 21:32:17,TRL-6360,DOCK,MUM,Shift B
2024-11-01 12:04:16,TRL-9936,YARD,MUM,Shift C
2024-11-01 12:37:47,TRL-9936,DOCK,MUM,Shift C
2025-01-10 20:45:17,TRL-4922,YARD,BLR,Shift C
2025-01-10 21:43:40,TRL-4922,DOCK,BLR,Shift C
2025-02-09 16:38:12,TRL-9342,YARD,BLR,Shift A
2025-02-09 17:14:22,TRL-9342,DOCK,BLR,Shift A
2024-12-07 14:36:04,TRL-7355,YARD,DEL,Shift B
2024-12-07 15:40:31,TRL-7355,DOCK,DEL,Shift B
2024-12-05 07:21:27,TRL-2544,YARD,DEL,Shift A
2024-12-05 08:44:21,TRL-2544,DOCK,DEL,Shift A
2025-01-03 06:27:00,TRL-8896,YARD,MUM,Shift A
2025-01-03 07:23:58,TRL-8896,DOCK,MUM,Shift A
2024-10-02 07:27:19,TRL-2090,YARD,DEL,Shift C
2024-10-02 08:07:05,TRL-2090,DOCK,DEL,Shift C
2025-02-08 12:10:40,TRL-5385,YARD,MUM,Shift A
2025-02-08 12:57:44,TRL-5385,DOCK,MUM,Shift A
2024-10-22 06:48:36,TRL-8944,YARD,DEL,Shift A
2024-10-22 08:08:46,TRL-8944,DOCK,DEL,Shift A
2025-01-22 08:12:59,TRL-1070,YARD,DEL,Shift A
2025-01-22 08:43:09,TRL-1070,DOCK,DEL,Shift A
2024-09-07 11:07:00,TRL-3484,YARD,DEL,Shift A
2024-09-07 12:00:39,TRL-3484,DOCK,DEL,Shift A
2024-12-06 14:42:49,TRL-4350,YARD,DEL,Shift C
2024-12-06 16:05:23,TRL-4350,DOCK,DEL,Shift C
2024-10-02 13:44:15,TRL-8569,YARD,MUM,Shift C
2024-10-02 14:35:10,TRL-8569,DOCK,MUM,Shift C
2025-02-01 14:12:10,TRL-7295,YARD,BLR,Shift C
2025-02-01 15:11:36,TRL-7295,DOCK,BLR,Shift C
2024-12-29 13:31:21,TRL-4636,YARD,DEL,Shift A
2024-12-29 14:10:05,TRL-4636,DOCK,DEL,Shift A
2024-09-27 16:42:41,TRL-7078,YARD,DEL,Shift A
2024-09-27 17:50:56,TRL-7078,DOCK,DEL,Shift A
2025-02-04 09:52:36,TRL-3696,YARD,BLR,Shift C
2025-02-04 10:17:02,TRL-3696,DOCK,BLR,Shift C
2025-01-24 18:42:49,TRL-9484,YARD,MUM,Shift A
2025-01-24 20:08:34,TRL-9484,DOCK,MUM,Shift A
2024-10-18 19:50:12,TRL-7987,YARD,MUM,Shift A
2024-10-18 21:17:49,TRL-7987,DOCK,MUM,Shift A
2024-10-13 11:27:27,TRL-1072,YARD,MUM,Shift B
2024-10-13 12:17:29,TRL-1072,DOCK,MUM,Shift B
2024-12-25 13:55:49,TRL-4120,YARD,MUM,Shift B
2024-12-25 14:50:57,TRL-4120,DOCK,MUM,Shift B
2024-09-18 07:30:52,TRL-8731,YARD,DEL,Shift A
2024-09-18 08:52:19,TRL-8731,DOCK,DEL,Shift A
2024-12-13 19:31:55,TRL-1130,YARD,DEL,Shift C
2024-12-13 20:21:10,TRL-1130,DOCK,DEL,Shift C
2024-12-15 06:30:06,TRL-4666,YARD,MUM,Shift B
2024-12-15 07:49:58,TRL-4666,DOCK,MUM,Shift B
2024-10-31 11:55:31,TRL-3734,YARD,MUM,Shift A
2024-10-31 13:10:01,TRL-3734,DOCK,MUM,Shift A
2024-10-10 10:09:55,TRL-8686,YARD,DEL,Shift A
2024-10-10 11:33:54,TRL-8686,DOCK,DEL,Shift A
2024-10-12 14:12:03,TRL-2899,YARD,BLR,Shift B
2024-10-12 15:32:57,TRL-2899,DOCK,BLR,Shift B
2024-11-16 07:48:03,TRL-9212,YARD,DEL,Shift A
2024-11-16 08:13:33,TRL-9212,DOCK,DEL,Shift A
2025-01-06 14:06:54,TRL-3101,YARD,DEL,Shift B
2025-01-06 15:16:50,TRL-3101,DOCK,DEL,Shift B
2025-01-16 15:27:17,TRL-9256,YARD,BLR,Shift B
2025-01-16 15:57:09,TRL-9256,DOCK,BLR,Shift B
2025-02-22 20:56:05,TRL-2007,YARD,MUM,Shift A
2025-02-22 21:44:16,TRL-2007,DOCK,MUM,Shift A
2025-01-25 13:14:43,TRL-2358,YARD,BLR,Shift C
2025-01-25 13:35:12,TRL-2358,DOCK,BLR,Shift C
2024-10-22 09:00:56,TRL-3319,YARD,DEL,Shift C
2024-10-22 10:20:14,TRL-3319,DOCK,DEL,Shift C
2025-02-08 08:48:57,TRL-3307,YARD,BLR,Shift A
2025-02-08 09:26:05,TRL-3307,DOCK,BLR,Shift A
2024-11-15 17:56:38,TRL-5755,YARD,DEL,Shift A
2024-11-15 18:27:52,TRL-5755,DOCK,DEL,Shift A
2024-12-09 15:18:02,TRL-1849,YARD,MUM,Shift C
2024-12-09 16:28:26,TRL-1849,DOCK,MUM,Shift C
2024-09-25 17:08:47,TRL-8920,YARD,BLR,Shift C
2024-09-25 18:13:26,TRL-8920,DOCK,BLR,Shift C
2025-01-09 12:38:35,TRL-8694,YARD,MUM,Shift A
2025-01-09 13:50:23,TRL-8694,DOCK,MUM,Shift A
2024-12-27 15:52:46,TRL-7999,YARD,MUM,Shift A
2024-12-27 16:58:36,TRL-7999,DOCK,MUM,Shift A
2024-09-14 09:41:08,TRL-8778,YARD,DEL,Shift C
2024-09-14 10:24:20,TRL-8778,DOCK,DEL,Shift C
2024-12-02 09:09:12,TRL-8118,YARD,MUM,Shift A
2024-12-02 10:22:05,TRL-8118,DOCK,MUM,Shift A
2025-01-01 06:25:11,TRL-7596,YARD,BLR,Shift C
2025-01-01 07:14:19,TRL-7596,DOCK,BLR,Shift C
2025-01-21 12:38:59,TRL-5849,YARD,DEL,Shift C
2025-01-21 13:39:31,TRL-5849,DOCK,DEL,Shift C
2024-11-17 09:24:34,TRL-7187,YARD,BLR,Shift B
2024-11-17 10:43:40,TRL-7187,DOCK,BLR,Shift B
2025-02-16 12:20:09,TRL-4191,YARD,MUM,Shift C
2025-02-16 13:33:34,TRL-4191,DOCK,MUM,Shift C
2024-11-11 18:54:59,TRL-1263,YARD,MUM,Shift A
2024-11-11 19:56:06,TRL-1263,DOCK,MUM,Shift A
2024-12-25 11:58:22,TRL-7007,YARD,BLR,Shift C
2024-12-25 12:25:28,TRL-7007,DOCK,BLR,Shift C
2024-10-08 20:54:02,TRL-5612,YARD,BLR,Shift C
2024-10-08 22:23:00,TRL-5612,DOCK,BLR,Shift C
2024-09-22 14:44:53,TRL-7223,YARD,MUM,Shift A
2024-09-22 15:53:19,TRL-7223,DOCK,MUM,Shift A
2024-11-09 16:37:24,TRL-4215,YARD,MUM,Shift C
2024-11-09 17:26:49,TRL-4215,DOCK,MUM,Shift C
2024-09-20 14:36:26,TRL-4281,YARD,DEL,Shift B
2024-09-20 15:05:06,TRL-4281,DOCK,DEL,Shift B
2025-01-06 06:02:39,TRL-2445,YARD,DEL,Shift B
2025-01-06 06:23:20,TRL-2445,DOCK,DEL,Shift B
2025-01-29 08:08:15,TRL-5233,YARD,BLR,Shift B
2025-01-29 09:37:03,TRL-5233,DOCK,BLR,Shift B
2024-09-17 19:08:24,TRL-1217,YARD,DEL,Shift C
2024-09-17 19:24:59,TRL-1217,DOCK,DEL,Shift C
2025-02-10 10:48:13,TRL-5661,YARD,BLR,Shift A
2025-02-10 11:53:35,TRL-5661,DOCK,BLR,Shift A
2024-09-14 20:13:36,TRL-7903,YARD,BLR,Shift C
2024-09-14 21:25:46,TRL-7903,DOCK,BLR,Shift C
2025-01-04 09:58:12,TRL-6481,YARD,BLR,Shift B
2025-01-04 11:12:20,TRL-6481,DOCK,BLR,Shift B
2024-11-23 17:56:47,TRL-2872,YARD,MUM,Shift C
2024-11-23 19:19:52,TRL-2872,DOCK,MUM,Shift C
2025-02-10 12:31:39,TRL-6386,YARD,DEL,Shift C
2025-02-10 13:42:32,TRL-6386,DOCK,DEL,Shift C
2025-01-11 06:20:23,TRL-2575,YARD,MUM,Shift A
2025-01-11 06:40:34,TRL-2575,DOCK,MUM,Shift A
2024-10-07 19:33:52,TRL-3480,YARD,DEL,Shift A
2024-10-07 19:49:32,TRL-3480,DOCK,DEL,Shift A
2024-12-27 19:51:21,TRL-9256,YARD,DEL,Shift A
2024-12-27 20:16:26,TRL-9256,DOCK,DEL,Shift A
2024-09-15 05:49:26,TRL-6712,YARD,DEL,Shift A
2024-09-15 06:47:19,TRL-6712,DOCK,DEL,Shift A
2025-02-07 16:43:56,TRL-4423,YARD,MUM,Shift B
2025-02-07 17:18:33,TRL-4423,DOCK,MUM,Shift B
2025-02-04 13:55:51,TRL-8679,YARD,MUM,Shift A
2025-02-04 14:55:41,TRL-8679,DOCK,MUM,Shift A
2025-01-27 16:55:24,TRL-4330,YARD,BLR,Shift B
2025-01-27 17:34:17,TRL-4330,DOCK,BLR,Shift B
2024-10-31 13:52:10,TRL-9316,YARD,DEL,Shift C
2024-10-31 15:00:41,TRL-9316,DOCK,DEL,Shift C
2025-01-08 09:12:29,TRL-6868,YARD,BLR,Shift B
2025-01-08 10:34:33,TRL-6868,DOCK,BLR,Shift B
2024-10-05 16:04:51,TRL-4062,YARD,BLR,Shift B
2024-10-05 16:41:07,TRL-4062,DOCK,BLR,Shift B
2025-02-17 10:49:40,TRL-7601,YARD,DEL,Shift A
2025-02-17 11:47:25,TRL-7601,DOCK,DEL,Shift A
2024-09-16 07:15:53,TRL-5131,YARD,BLR,Shift C
2024-09-16 07:49:04,TRL-5131,DOCK,BLR,Shift C
2024-11-14 11:05:39,TRL-9279,YARD,MUM,Shift A
2024-11-14 12:34:31,TRL-9279,DOCK,MUM,Shift A
2024-10-22 21:06:36,TRL-7346,YARD,DEL,Shift B
2024-10-22 22:12:30,TRL-7346,DOCK,DEL,Shift B
2025-01-10 13:12:06,TRL-4933,YARD,BLR,Shift A
2025-01-10 13:28:49,TRL-4933,DOCK,BLR,Shift A
2025-01-12 12:14:48,TRL-4402,YARD,DEL,Shift C
2025-01-12 13:40:28,TRL-4402,DOCK,DEL,Shift C
2025-01-31 16:59:37,TRL-9107,YARD,MUM,Shift B
2025-01-31 17:25:01,TRL-9107,DOCK,MUM,Shift B
2025-02-13 19:52:19,TRL-7679,YARD,BLR,Shift B
2025-02-13 20:34:40,TRL-7679,DOCK,BLR,Shift B
2025-02-21 19:48:15,TRL-9494,YARD,BLR,Shift C
2025-02-21 20:26:31,TRL-9494,DOCK,BLR,Shift C
2025-01-18 08:06:37,TRL-9826,YARD,BLR,Shift A
2025-01-18 08:41:24,TRL-9826,DOCK,BLR,Shift A
2025-01-11 11:13:33,TRL-3727,YARD,DEL,Shift B
2025-01-11 12:05:54,TRL-3727,DOCK,DEL,Shift B
2025-01-18 06:36:28,TRL-3105,YARD,MUM,Shift B
2025-01-18 06:51:39,TRL-3105,DOCK,MUM,Shift B
2024-12-27 18:53:16,TRL-1563,YARD,MUM,Shift C
2024-12-27 20:14:18,TRL-1563,DOCK,MUM,Shift C
2024-09-07 18:49:22,TRL-3314,YARD,BLR,Shift A
2024-09-07 19:45:19,TRL-3314,DOCK,BLR,Shift A
2025-02-19 13:39:29,TRL-1813,YARD,DEL,Shift A
2025-02-19 14:17:17,TRL-1813,DOCK,DEL,Shift A
2024-12-23 10:47:23,TRL-7176,YARD,BLR,Shift B
2024-12-23 11:26:21,TRL-7176,DOCK,BLR,Shift B
2024-11-20 19:27:36,TRL-1394,YARD,MUM,Shift C
2024-11-20 20:40:01,TRL-1394,DOCK,MUM,Shift C
2025-01-15 12:28:27,TRL-5584,YARD,DEL,Shift B
2025-01-15 13:45:14,TRL-5584,DOCK,DEL,Shift B
2024-09-18 14:57:24,TRL-9118,YARD,BLR,Shift A
2024-09-18 15:42:26,TRL-9118,DOCK,BLR,Shift A
2024-12-08 15:36:10,TRL-4324,YARD,DEL,Shift A
2024-12-08 15:55:26,TRL-4324,DOCK,DEL,Shift A
2024-10-31 21:01:28,TRL-4246,YARD,MUM,Shift C
2024-10-31 21:40:29,TRL-4246,DOCK,MUM,Shift C
2025-02-17 10:35:27,TRL-7894,YARD,MUM,Shift B
2025-02-17 11:58:40,TRL-7894,DOCK,MUM,Shift B
2024-09-14 15:55:24,TRL-7248,YARD,MUM,Shift A
2024-09-14 17:03:51,TRL-7248,DOCK,MUM,Shift A
2025-02-18 17:11:42,TRL-4289,YARD,DEL,Shift B
2025-02-18 17:33:24,TRL-4289,DOCK,DEL,Shift B
2025-01-09 10:04:24,TRL-1953,YARD,DEL,Shift C
2025-01-09 11:13:34,TRL-1953,DOCK,DEL,Shift C
2024-10-10 05:34:54,TRL-1858,YARD,BLR,Shift A
2024-10-10 06:51:27,TRL-1858,DOCK,BLR,Shift A
2024-09-06 15:51:33,TRL-4846,YARD,BLR,Shift A
2024-09-06 16:48:01,TRL-4846,DOCK,BLR,Shift A
2025-01-17 12:03:13,TRL-9536,YARD,DEL,Shift B
2025-01-17 13:12:45,TRL-9536,DOCK,DEL,Shift B
2024-09-25 11:35:35,TRL-6074,YARD,MUM,Shift B
2024-09-25 13:03:07,TRL-6074,DOCK,MUM,Shift B
2024-10-27 20:08:15,TRL-3842,YARD,BLR,Shift C
2024-10-27 21:11:31,TRL-3842,DOCK,BLR,Shift C
2025-02-03 08:49:43,TRL-4778,YARD,MUM,Shift B
2025-02-03 09:57:08,TRL-4778,DOCK,MUM,Shift B
2025-01-08 18:36:34,TRL-5565,YARD,BLR,Shift A
2025-01-08 19:16:41,TRL-5565,DOCK,BLR,Shift A
2025-01-06 09:04:10,TRL-3944,YARD,DEL,Shift B
2025-01-06 10:10:23,TRL-3944,DOCK,DEL,Shift B
2024-12-11 12:41:35,TRL-4770,YARD,DEL,Shift C
2024-12-11 14:05:50,TRL-4770,DOCK,DEL,Shift C
2024-09-08 07:30:31,TRL-4614,YARD,BLR,Shift A
2024-09-08 08:18:46,TRL-4614,DOCK,BLR,Shift A
2024-10-16 09:26:04,TRL-7958,YARD,DEL,Shift A
2024-10-16 09:59:14,TRL-7958,DOCK,DEL,Shift A
2025-02-02 14:48:37,TRL-7840,YARD,MUM,Shift B
2025-02-02 15:16:23,TRL-7840,DOCK,MUM,Shift B
2024-11-24 14:59:10,TRL-1405,YARD,BLR,Shift C
2024-11-24 16:13:19,TRL-1405,DOCK,BLR,Shift C
2024-12-11 11:06:44,TRL-2349,YARD,BLR,Shift A
2024-12-11 12:35:36,TRL-2349,DOCK,BLR,Shift A
2024-12-15 16:58:39,TRL-8030,YARD,MUM,Shift A
2024-12-15 17:18:39,TRL-8030,DOCK,MUM,Shift A
2025-01-11 20:57:47,TRL-5965,YARD,MUM,Shift C
2025-01-11 21:47:11,TRL-5965,DOCK,MUM,Shift C
2024-09-14 14:24:26,TRL-5201,YARD,MUM,Shift B
2024-09-14 15:13:46,TRL-5201,DOCK,MUM,Shift B
2024-12-07 13:15:31,TRL-1061,YARD,BLR,Shift B
2024-12-07 14:38:52,TRL-1061,DOCK,BLR,Shift B
2024-12-28 19:41:44,TRL-4609,YARD,MUM,Shift A
2024-12-28 21:11:14,TRL-4609,DOCK,MUM,Shift A
2024-11-30 17:10:07,TRL-2446,YARD,BLR,Shift A
2024-11-30 18:38:34,TRL-2446,DOCK,BLR,Shift A
2024-12-13 06:48:29,TRL-9986,YARD,DEL,Shift C
2024-12-13 07:54:03,TRL-9986,DOCK,DEL,Shift C
2024-10-21 12:09:44,TRL-5006,YARD,DEL,Shift C
2024-10-21 13:29:23,TRL-5006,DOCK,DEL,Shift C
2024-10-18 19:57:20,TRL-8088,YARD,MUM,Shift B
2024-10-18 21:22:04,TRL-8088,DOCK,MUM,Shift B
2024-12-12 12:28:51,TRL-8337,YARD,MUM,Shift A
2024-12-12 13:21:38,TRL-8337,DOCK,MUM,Shift A
2025-02-09 06:59:59,TRL-3285,YARD,DEL,Shift B
2025-02-09 07:56:48,TRL-3285,DOCK,DEL,Shift B
2025-01-05 07:28:47,TRL-3044,YARD,MUM,Shift A
2025-01-05 08:06:54,TRL-3044,DOCK,MUM,Shift A
2024-10-02 09:59:19,TRL-7917,YARD,BLR,Shift A
2024-10-02 10:31:46,TRL-7917,DOCK,BLR,Shift A
2024-09-11 12:06:51,TRL-7687,YARD,BLR,Shift B
2024-09-11 13:26:36,TRL-7687,DOCK,BLR,Shift B
2025-02-08 08:19:38,TRL-1471,YARD,BLR,Shift B
2025-02-08 09:29:16,TRL-1471,DOCK,BLR,Shift B
2025-01-26 10:05:00,TRL-7644,YARD,BLR,Shift C
2025-01-26 10:52:02,TRL-7644,DOCK,BLR,Shift C
2024-11-05 19:08:30,TRL-2610,YARD,DEL,Shift A
2024-11-05 20:00:38,TRL-2610,DOCK,DEL,Shift A
2024-11-14 18:15:09,TRL-7522,YARD,DEL,Shift B
2024-11-14 19:19:30,TRL-7522,DOCK,DEL,Shift B
2025-01-18 12:27:12,TRL-9891,YARD,BLR,Shift A
2025-01-18 13:12:53,TRL-9891,DOCK,BLR,Shift A
2024-09-28 17:24:10,TRL-4869,YARD,MUM,Shift B
2024-09-28 18:20:01,TRL-4869,DOCK,MUM,Shift B
2024-11-12 08:43:03,TRL-6857,YARD,BLR,Shift A
2024-11-12 09:04:38,TRL-6857,DOCK,BLR,Shift A
2024-09-26 05:01:49,TRL-7496,YARD,DEL,Shift B
2024-09-26 06:15:29,TRL-7496,DOCK,DEL,Shift B
2024-09-29 07:53:34,TRL-3645,YARD,DEL,Shift C
2024-09-29 09:17:53,TRL-3645,DOCK,DEL,Shift C
2025-02-16 08:44:09,TRL-3816,YARD,BLR,Shift A
2025-02-16 09:11:04,TRL-3816,DOCK,BLR,Shift A
2024-12-22 11:11:50,TRL-7965,YARD,DEL,Shift B
2024-12-22 11:59:27,TRL-7965,DOCK,DEL,Shift B
2024-10-24 14:44:58,TRL-9433,YARD,BLR,Shift B
2024-10-24 15:38:34,TRL-9433,DOCK,BLR,Shift B
2024-09-07 12:34:36,TRL-4190,YARD,BLR,Shift A
2024-09-07 13:37:52,TRL-4190,DOCK,BLR,Shift A
2024-09-25 06:14:18,TRL-2402,YARD,DEL,Shift A
2024-09-25 07:43:30,TRL-2402,DOCK,DEL,Shift A
2024-09-26 10:53:23,TRL-6322,YARD,BLR,Shift A
2024-09-26 11:22:25,TRL-6322,DOCK,BLR,Shift A
2024-12-24 16:56:31,TRL-9810,YARD,BLR,Shift A
2024-12-24 17:11:34,TRL-9810,DOCK,BLR,Shift A
2024-12-01 13:53:22,TRL-5774,YARD,DEL,Shift C
2024-12-01 14:52:08,TRL-5774,DOCK,DEL,Shift C
