order_id,shipment_id,warehouse,sku,alloc_dte,pick_dte,stage_dte,load_dte,early_shpdte,dispatch_dte,shift,team
ORD-119552,SHP-00619,BLR,SKU-023,2025-01-11 01:10:20,2025-01-11 02:34:38,2025-01-11 04:50:06,2025-01-11 07:05:33,2025-01-11 07:15:15,2025-01-11 06:56:15,Shift B,Team 2
ORD-919503,SHP-00620,BLR,SKU-027,2025-02-10 01:03:22,2025-02-10 02:26:56,2025-02-10 03:28:42,2025-02-10 04:30:29,2025-02-10 09:47:34,2025-02-10 09:47:34,Shift B,Team 2
ORD-340465,SHP-00621,MUM,SKU-014,2024-09-18 01:11:31,2024-09-18 03:21:40,2024-09-18 05:23:20,2024-09-18 07:25:00,2024-09-18 09:41:42,2024-09-18 09:40:42,Shift B,Team 2
ORD-964890,SHP-00622,DEL,SKU-006,2024-10-25 00:58:46,2024-10-25 02:57:10,2024-10-25 05:02:22,2024-10-25 07:07:35,2024-10-25 09:28:51,2024-10-25 09:21:51,Shift C,Team 3
ORD-934042,SHP-00623,BLR,SKU-008,2024-11-15 00:43:29,2024-11-15 03:11:14,2024-11-15 05:03:21,2024-11-15 06:55:27,2024-11-15 08:47:28,2024-11-15 08:43:28,Shift C,Team 2
ORD-837157,SHP-00624,BLR,SKU-013,2024-09-25 01:08:53,2024-09-25 02:35:19,2024-09-25 03:42:48,2024-09-25 04:50:18,2024-09-25 09:55:24,2024-09-25 09:26:24,Shift C,Team 3
ORD-940472,SHP-00625,BLR,SKU-012,2024-12-04 01:19:43,2024-12-04 03:42:59,2024-12-04 04:47:35,2024-12-04 05:52:12,2024-12-04 09:26:44,2024-12-04 09:03:44,Shift B,Team 1
ORD-446489,SHP-00626,MUM,SKU-009,2024-09-07 00:51:43,2024-09-07 02:57:06,2024-09-07 03:58:10,2024-09-07 04:59:14,2024-09-07 08:02:38,2024-09-07 07:47:38,Shift A,Team 3
ORD-840006,SHP-00627,BLR,SKU-026,2024-09-01 00:39:48,2024-09-01 02:48:26,2024-09-01 04:44:50,2024-09-01 06:41:15,2024-09-01 08:51:11,2024-09-01 08:51:11,Shift B,Team 2
ORD-494675,SHP-00628,DEL,SKU-004,2024-12-31 01:29:23,2024-12-31 02:44:52,2024-12-31 05:05:59,2024-12-31 07:27:05,2024-12-31 09:42:48,2024-12-31 09:27:48,Shift B,Team 3
ORD-897537,SHP-00629,BLR,SKU-006,2024-10-03 00:46:08,2024-10-03 02:27:36,2024-10-03 04:29:57,2024-10-03 06:32:18,2024-10-03 09:48:40,2024-10-03 09:21:40,Shift A,Team 3
ORD-356370,SHP-00630,BLR,SKU-030,2024-12-21 01:05:56,2024-12-21 02:34:51,2024-12-21 04:52:54,2024-12-21 07:10:56,2024-12-21 09:14:40,2024-12-21 08:50:40,Shift C,Team 2
ORD-803776,SHP-00631,BLR,SKU-008,2025-01-15 00:40:01,2025-01-15 01:53:38,2025-01-15 03:53:19,2025-01-15 05:53:00,2025-01-15 09:17:26,2025-01-15 08:57:26,Shift B,Team 1
ORD-331457,SHP-00632,BLR,SKU-004,2024-12-21 00:39:56,2024-12-21 02:05:15,2024-12-21 03:41:39,2024-12-21 05:18:03,2024-12-21 09:20:08,2024-12-21 09:11:08,Shift A,Team 3
ORD-183326,SHP-00633,BLR,SKU-007,2024-11-20 00:32:21,2024-11-20 02:43:45,2024-11-20 04:44:57,2024-11-20 06:46:09,2024-11-20 09:42:04,2024-11-20 11:30:44,Shift A,Team 2
ORD-730280,SHP-00634,BLR,SKU-028,2024-10-27 01:26:14,2024-10-27 03:54:44,2024-10-27 06:03:48,2024-10-27 08:12:51,2024-10-27 09:22:05,2024-10-27 09:10:05,Shift B,Team 1
ORD-101608,SHP-00635,DEL,SKU-011,2024-10-08 01:14:29,2024-10-08 03:23:55,2024-10-08 05:25:43,2024-10-08 07:27:32,2024-10-08 08:36:02,2024-10-08 08:08:02,Shift B,Team 3
ORD-254591,SHP-00636,DEL,SKU-027,2024-12-06 00:52:36,2024-12-06 03:15:09,2024-12-06 05:30:31,2024-12-06 07:45:54,2024-12-06 08:29:21,2024-12-06 08:04:21,Shift C,Team 2
ORD-494314,SHP-00637,DEL,SKU-013,2024-11-16 00:57:28,2024-11-16 02:51:21,2024-11-16 03:55:31,2024-11-16 04:59:42,2024-11-16 07:53:41,2024-11-16 07:37:41,Shift B,Team 1
ORD-535110,SHP-00638,BLR,SKU-004,2024-10-20 01:00:32,2024-10-20 02:25:18,2024-10-20 04:18:14,2024-10-20 06:11:10,2024-10-20 07:10:29,2024-10-20 12:03:29,Shift A,Team 1
ORD-326106,SHP-00639,BLR,SKU-026,2024-10-06 01:00:11,2024-10-06 02:15:34,2024-10-06 04:21:41,2024-10-06 06:27:47,2024-10-06 08:19:57,2024-10-06 08:19:57,Shift B,Team 2
ORD-759415,SHP-00640,DEL,SKU-016,2024-10-14 01:03:53,2024-10-14 02:55:52,2024-10-14 04:35:10,2024-10-14 06:14:29,2024-10-14 08:07:17,2024-10-14 08:03:17,Shift C,Team 2
ORD-726785,SHP-00641,DEL,SKU-006,2024-09-09 01:28:26,2024-09-09 03:34:44,2024-09-09 04:44:34,2024-09-09 05:54:24,2024-09-09 07:16:17,2024-09-09 12:46:56,Shift B,Team 3
ORD-343929,SHP-00642,MUM,SKU-004,2024-12-04 01:01:05,2024-12-04 03:13:08,2024-12-04 05:30:41,2024-12-04 07:48:14,2024-12-04 07:45:03,2024-12-04 07:17:03,Shift A,Team 3
ORD-257851,SHP-00643,MUM,SKU-019,2025-01-30 01:00:42,2025-01-30 02:50:33,2025-01-30 05:20:08,2025-01-30 07:49:44,2025-01-30 07:40:01,2025-01-30 07:33:01,Shift A,Team 1
ORD-542162,SHP-00644,MUM,SKU-019,2025-01-14 00:51:25,2025-01-14 02:43:20,2025-01-14 03:53:56,2025-01-14 05:04:32,2025-01-14 07:09:25,2025-01-14 06:46:25,Shift A,Team 2
ORD-150139,SHP-00645,DEL,SKU-019,2024-10-17 01:11:40,2024-10-17 03:10:14,2024-10-17 05:12:37,2024-10-17 07:15:00,2024-10-17 07:01:29,2024-10-17 06:33:29,Shift B,Team 1
ORD-416096,SHP-00646,DEL,SKU-022,2024-12-03 00:39:22,2024-12-03 02:38:28,2024-12-03 04:16:08,2024-12-03 05:53:48,2024-12-03 08:50:54,2024-12-03 12:59:36,Shift B,Team 2
ORD-548798,SHP-00647,MUM,SKU-018,2025-01-04 00:38:03,2025-01-04 02:08:12,2025-01-04 03:38:04,2025-01-04 05:07:56,2025-01-04 07:29:30,2025-01-04 07:02:30,Shift A,Team 3
ORD-506977,SHP-00648,DEL,SKU-005,2025-01-20 01:23:03,2025-01-20 03:06:38,2025-01-20 05:17:53,2025-01-20 07:29:08,2025-01-20 09:09:17,2025-01-20 09:07:17,Shift A,Team 2
ORD-830459,SHP-00649,MUM,SKU-021,2024-11-05 01:21:13,2024-11-05 03:33:37,2024-11-05 05:15:58,2024-11-05 06:58:18,2024-11-05 08:49:35,2024-11-05 08:35:35,Shift A,Team 3
ORD-681192,SHP-00650,BLR,SKU-026,2024-12-17 00:48:18,2024-12-17 01:48:44,2024-12-17 03:04:27,2024-12-17 04:20:09,2024-12-17 08:22:01,2024-12-17 07:59:01,Shift C,Team 2
ORD-619879,SHP-00651,BLR,SKU-005,2024-09-17 01:02:51,2024-09-17 02:25:32,2024-09-17 04:08:14,2024-09-17 05:50:56,2024-09-17 07:32:26,2024-09-17 07:30:26,Shift B,Team 3
ORD-781640,SHP-00652,DEL,SKU-027,2025-01-13 00:57:28,2025-01-13 02:42:23,2025-01-13 04:30:34,2025-01-13 06:18:45,2025-01-13 08:01:56,2025-01-13 07:35:56,Shift A,Team 2
ORD-245057,SHP-00653,DEL,SKU-026,2024-11-21 01:23:49,2024-11-21 03:01:58,2024-11-21 05:19:45,2024-11-21 07:37:32,2024-11-21 08:51:32,2024-11-21 08:31:32,Shift C,Team 2
ORD-582025,SHP-00654,BLR,SKU-024,2025-02-16 01:07:07,2025-02-16 03:00:11,2025-02-16 04:48:56,2025-02-16 06:37:42,2025-02-16 08:24:42,2025-02-16 08:14:42,Shift B,Team 1
ORD-588354,SHP-00655,MUM,SKU-023,2024-12-22 01:00:45,2024-12-22 03:20:16,2024-12-22 05:28:32,2024-12-22 07:36:48,2024-12-22 07:42:24,2024-12-22 07:13:24,Shift B,Team 3
ORD-378017,SHP-00656,DEL,SKU-003,2024-11-01 01:06:37,2024-11-01 03:36:10,2024-11-01 05:41:10,2024-11-01 07:46:09,2024-11-01 09:04:32,2024-11-01 08:36:32,Shift A,Team 1
ORD-471920,SHP-00657,BLR,SKU-013,2025-01-06 01:25:00,2025-01-06 03:27:13,2025-01-06 05:53:51,2025-01-06 08:20:29,2025-01-06 09:05:10,2025-01-06 09:03:10,Shift A,Team 2
ORD-309422,SHP-00658,MUM,SKU-006,2025-02-03 01:29:16,2025-02-03 03:21:36,2025-02-03 04:44:12,2025-02-03 06:06:48,2025-02-03 08:32:52,2025-02-03 08:28:52,Shift B,Team 1
ORD-594072,SHP-00659,BLR,SKU-022,2024-12-18 01:20:25,2024-12-18 03:36:09,2024-12-18 05:23:40,2024-12-18 07:11:11,2024-12-18 08:26:07,2024-12-18 08:03:07,Shift A,Team 3
ORD-716940,SHP-00660,DEL,SKU-030,2024-12-10 01:17:17,2024-12-10 02:48:45,2024-12-10 03:59:26,2024-12-10 05:10:08,2024-12-10 09:56:36,2024-12-10 09:31:36,Shift A,Team 1
ORD-698711,SHP-00661,MUM,SKU-013,2024-12-27 00:54:07,2024-12-27 02:57:35,2024-12-27 05:00:42,2024-12-27 07:03:49,2024-12-27 09:41:19,2024-12-27 14:39:05,Shift B,Team 3
ORD-490700,SHP-00662,MUM,SKU-008,2024-09-02 00:31:41,2024-09-02 02:09:23,2024-09-02 04:04:35,2024-09-02 05:59:47,2024-09-02 09:35:57,2024-09-02 10:39:39,Shift B,Team 2
ORD-353931,SHP-00663,DEL,SKU-023,2024-10-12 00:32:06,2024-10-12 02:35:41,2024-10-12 04:16:09,2024-10-12 05:56:36,2024-10-12 07:43:25,2024-10-12 07:17:25,Shift C,Team 2
ORD-356026,SHP-00664,DEL,SKU-016,2025-01-01 00:56:23,2025-01-01 02:57:09,2025-01-01 05:09:55,2025-01-01 07:22:40,2025-01-01 09:08:47,2025-01-01 10:01:01,Shift C,Team 2
ORD-483209,SHP-00665,MUM,SKU-001,2024-10-04 00:54:49,2024-10-04 02:53:12,2024-10-04 04:18:47,2024-10-04 05:44:22,2024-10-04 09:37:22,2024-10-04 09:10:22,Shift A,Team 2
ORD-809711,SHP-00666,MUM,SKU-008,2024-11-12 00:33:45,2024-11-12 02:46:20,2024-11-12 03:58:02,2024-11-12 05:09:45,2024-11-12 08:37:50,2024-11-12 08:20:50,Shift A,Team 2
ORD-816741,SHP-00667,BLR,SKU-020,2024-10-21 01:20:50,2024-10-21 03:11:01,2024-10-21 04:54:58,2024-10-21 06:38:55,2024-10-21 07:08:32,2024-10-21 07:06:32,Shift C,Team 1
ORD-130307,SHP-00668,MUM,SKU-028,2024-12-19 00:49:08,2024-12-19 03:08:31,2024-12-19 04:39:43,2024-12-19 06:10:55,2024-12-19 07:59:38,2024-12-19 07:52:38,Shift C,Team 3
ORD-871345,SHP-00669,BLR,SKU-008,2024-11-17 00:51:13,2024-11-17 02:20:34,2024-11-17 04:35:34,2024-11-17 06:50:34,2024-11-17 09:47:24,2024-11-17 09:20:24,Shift A,Team 2
ORD-964521,SHP-00670,MUM,SKU-016,2025-02-03 01:03:03,2025-02-03 02:50:03,2025-02-03 04:20:32,2025-02-03 05:51:00,2025-02-03 07:30:50,2025-02-03 07:08:50,Shift B,Team 1
ORD-902562,SHP-00671,MUM,SKU-013,2025-01-29 01:02:25,2025-01-29 02:41:22,2025-01-29 03:45:06,2025-01-29 04:48:50,2025-01-29 09:30:09,2025-01-29 09:18:09,Shift C,Team 3
ORD-518489,SHP-00672,BLR,SKU-018,2024-12-24 01:05:21,2024-12-24 03:09:41,2024-12-24 04:57:01,2024-12-24 06:44:21,2024-12-24 08:36:38,2024-12-24 14:34:30,Shift B,Team 1
ORD-816017,SHP-00673,DEL,SKU-012,2024-11-04 01:20:26,2024-11-04 03:49:33,2024-11-04 05:29:57,2024-11-04 07:10:22,2024-11-04 07:27:44,2024-11-04 07:06:44,Shift B,Team 3
ORD-569575,SHP-00674,BLR,SKU-002,2025-02-01 00:43:12,2025-02-01 02:43:55,2025-02-01 04:57:13,2025-02-01 07:10:31,2025-02-01 09:36:04,2025-02-01 09:11:04,Shift B,Team 2
ORD-865634,SHP-00675,BLR,SKU-020,2024-10-13 01:14:00,2024-10-13 03:31:51,2024-10-13 04:50:43,2024-10-13 06:09:34,2024-10-13 07:03:01,2024-10-13 06:33:01,Shift B,Team 2
ORD-197527,SHP-00676,BLR,SKU-023,2025-01-13 00:52:53,2025-01-13 02:32:10,2025-01-13 03:58:32,2025-01-13 05:24:55,2025-01-13 09:47:18,2025-01-13 09:30:18,Shift C,Team 3
ORD-610510,SHP-00677,DEL,SKU-018,2024-11-09 00:53:21,2024-11-09 02:31:49,2024-11-09 04:20:34,2024-11-09 06:09:18,2024-11-09 08:00:49,2024-11-09 07:44:49,Shift C,Team 1
ORD-868687,SHP-00678,BLR,SKU-002,2024-12-14 00:57:45,2024-12-14 02:31:51,2024-12-14 03:34:27,2024-12-14 04:37:04,2024-12-14 07:01:07,2024-12-14 10:10:33,Shift C,Team 2
ORD-919958,SHP-00679,DEL,SKU-021,2024-09-28 01:03:39,2024-09-28 03:18:28,2024-09-28 04:57:51,2024-09-28 06:37:14,2024-09-28 09:13:48,2024-09-28 08:52:48,Shift B,Team 3
ORD-116591,SHP-00680,BLR,SKU-012,2024-12-24 01:02:12,2024-12-24 03:16:21,2024-12-24 04:40:18,2024-12-24 06:04:14,2024-12-24 09:26:23,2024-12-24 08:56:23,Shift C,Team 2
ORD-523746,SHP-00681,DEL,SKU-013,2024-10-17 01:08:11,2024-10-17 02:41:20,2024-10-17 04:03:11,2024-10-17 05:25:01,2024-10-17 07:31:13,2024-10-17 08:43:49,Shift B,Team 3
ORD-652341,SHP-00682,MUM,SKU-020,2024-10-06 01:18:15,2024-10-06 03:33:46,2024-10-06 05:18:45,2024-10-06 07:03:43,2024-10-06 07:06:34,2024-10-06 07:00:34,Shift C,Team 3
ORD-272041,SHP-00683,DEL,SKU-026,2024-11-08 00:50:22,2024-11-08 02:22:27,2024-11-08 04:15:01,2024-11-08 06:07:34,2024-11-08 09:49:28,2024-11-08 09:42:28,Shift C,Team 1
ORD-865455,SHP-00684,MUM,SKU-018,2024-11-24 01:14:43,2024-11-24 03:14:57,2024-11-24 04:26:20,2024-11-24 05:37:44,2024-11-24 09:26:50,2024-11-24 08:57:50,Shift A,Team 3
ORD-543351,SHP-00685,DEL,SKU-012,2024-10-07 01:24:41,2024-10-07 02:52:47,2024-10-07 04:07:28,2024-10-07 05:22:10,2024-10-07 09:17:23,2024-10-07 11:36:38,Shift B,Team 1
ORD-604552,SHP-00686,DEL,SKU-012,2024-09-29 00:50:15,2024-09-29 03:12:00,2024-09-29 04:58:54,2024-09-29 06:45:49,2024-09-29 09:06:03,2024-09-29 08:48:03,Shift C,Team 1
ORD-283223,SHP-00687,MUM,SKU-020,2025-02-01 01:17:44,2025-02-01 03:38:03,2025-02-01 06:06:32,2025-02-01 08:35:00,2025-02-01 07:52:46,2025-02-01 07:37:46,Shift A,Team 1
ORD-170498,SHP-00688,MUM,SKU-005,2024-10-09 01:28:15,2024-10-09 03:16:37,2024-10-09 05:42:31,2024-10-09 08:08:24,2024-10-09 08:45:04,2024-10-09 08:18:04,Shift A,Team 1
ORD-133797,SHP-00689,BLR,SKU-014,2024-09-24 00:47:07,2024-09-24 03:05:22,2024-09-24 04:46:48,2024-09-24 06:28:13,2024-09-24 09:31:27,2024-09-24 11:54:43,Shift B,Team 2
ORD-355470,SHP-00690,DEL,SKU-018,2025-01-19 01:06:31,2025-01-19 02:33:15,2025-01-19 05:00:08,2025-01-19 07:27:01,2025-01-19 09:46:56,2025-01-19 09:25:56,Shift A,Team 3
ORD-365636,SHP-00691,BLR,SKU-016,2024-10-31 00:55:52,2024-10-31 03:03:01,2024-10-31 04:21:40,2024-10-31 05:40:19,2024-10-31 08:52:14,2024-10-31 08:30:14,Shift B,Team 3
ORD-275803,SHP-00692,DEL,SKU-030,2024-10-07 00:39:46,2024-10-07 02:28:46,2024-10-07 03:58:30,2024-10-07 05:28:13,2024-10-07 09:45:14,2024-10-07 09:45:14,Shift B,Team 2
ORD-967815,SHP-00693,BLR,SKU-003,2024-09-07 01:09:33,2024-09-07 02:47:38,2024-09-07 04:02:11,2024-09-07 05:16:44,2024-09-07 07:47:07,2024-09-07 07:21:07,Shift A,Team 1
ORD-375204,SHP-00694,DEL,SKU-024,2024-12-16 01:05:34,2024-12-16 03:21:20,2024-12-16 05:47:38,2024-12-16 08:13:56,2024-12-16 07:05:43,2024-12-16 06:45:43,Shift B,Team 1
ORD-857079,SHP-00695,BLR,SKU-017,2024-09-29 01:03:18,2024-09-29 02:32:22,2024-09-29 03:37:42,2024-09-29 04:43:01,2024-09-29 09:09:18,2024-09-29 08:39:18,Shift A,Team 3
ORD-979024,SHP-00696,BLR,SKU-003,2024-10-29 00:44:41,2024-10-29 02:30:44,2024-10-29 04:33:11,2024-10-29 06:35:37,2024-10-29 09:50:09,2024-10-29 09:23:09,Shift B,Team 1
ORD-815085,SHP-00697,DEL,SKU-027,2024-09-20 01:15:33,2024-09-20 02:28:29,2024-09-20 03:48:38,2024-09-20 05:08:47,2024-09-20 08:38:57,2024-09-20 08:10:57,Shift C,Team 2
ORD-621038,SHP-00698,MUM,SKU-004,2024-09-08 01:23:15,2024-09-08 03:33:00,2024-09-08 04:39:49,2024-09-08 05:46:38,2024-09-08 07:03:02,2024-09-08 06:37:02,Shift B,Team 2
ORD-313443,SHP-00699,DEL,SKU-002,2024-09-22 00:43:06,2024-09-22 02:24:14,2024-09-22 04:39:38,2024-09-22 06:55:01,2024-09-22 08:12:39,2024-09-22 07:52:39,Shift B,Team 1
ORD-109083,SHP-00700,DEL,SKU-011,2024-12-01 01:09:21,2024-12-01 02:53:32,2024-12-01 04:39:34,2024-12-01 06:25:36,2024-12-01 09:59:38,2024-12-01 12:30:21,Shift A,Team 2
ORD-380531,SHP-00701,MUM,SKU-023,2024-09-10 00:55:53,2024-09-10 02:51:46,2024-09-10 04:33:25,2024-09-10 06:15:03,2024-09-10 09:00:12,2024-09-10 08:30:12,Shift B,Team 2
ORD-466227,SHP-00702,BLR,SKU-015,2025-02-14 00:59:40,2025-02-14 02:50:49,2025-02-14 04:45:52,2025-02-14 06:40:55,2025-02-14 08:06:12,2025-02-14 10:23:12,Shift A,Team 3
ORD-482394,SHP-00703,BLR,SKU-016,2024-10-24 01:08:54,2024-10-24 03:10:51,2024-10-24 04:45:40,2024-10-24 06:20:28,2024-10-24 08:53:40,2024-10-24 08:44:40,Shift C,Team 1
ORD-677112,SHP-00704,DEL,SKU-006,2024-12-26 01:00:50,2024-12-26 03:19:36,2024-12-26 05:45:45,2024-12-26 08:11:53,2024-12-26 07:13:22,2024-12-26 07:02:22,Shift C,Team 2
ORD-945918,SHP-00705,MUM,SKU-002,2024-12-23 01:26:31,2024-12-23 03:28:35,2024-12-23 04:40:22,2024-12-23 05:52:10,2024-12-23 09:41:26,2024-12-23 09:12:26,Shift C,Team 1
ORD-840170,SHP-00706,BLR,SKU-015,2024-12-05 00:33:42,2024-12-05 02:14:29,2024-12-05 04:14:40,2024-12-05 06:14:51,2024-12-05 09:55:46,2024-12-05 09:31:46,Shift C,Team 1
ORD-493329,SHP-00707,DEL,SKU-003,2024-10-10 00:34:27,2024-10-10 02:32:58,2024-10-10 03:41:38,2024-10-10 04:50:17,2024-10-10 08:53:14,2024-10-10 08:44:14,Shift B,Team 2
ORD-215974,SHP-00708,MUM,SKU-030,2024-10-17 01:19:56,2024-10-17 02:53:37,2024-10-17 04:20:12,2024-10-17 05:46:47,2024-10-17 07:26:48,2024-10-17 07:25:48,Shift B,Team 2
ORD-286452,SHP-00709,MUM,SKU-021,2024-09-30 01:17:22,2024-09-30 03:17:12,2024-09-30 04:59:49,2024-09-30 06:42:26,2024-09-30 08:52:07,2024-09-30 08:46:07,Shift A,Team 3
ORD-716139,SHP-00710,MUM,SKU-025,2024-10-25 00:31:32,2024-10-25 02:37:18,2024-10-25 04:26:31,2024-10-25 06:15:44,2024-10-25 07:10:12,2024-10-25 06:59:12,Shift A,Team 2
ORD-699722,SHP-00711,DEL,SKU-003,2024-12-17 01:10:59,2024-12-17 02:32:46,2024-12-17 04:37:53,2024-12-17 06:42:59,2024-12-17 07:30:20,2024-12-17 12:50:05,Shift A,Team 3
ORD-867913,SHP-00712,MUM,SKU-013,2024-12-21 00:47:08,2024-12-21 02:53:27,2024-12-21 04:09:00,2024-12-21 05:24:34,2024-12-21 09:19:07,2024-12-21 08:59:07,Shift A,Team 1
ORD-370743,SHP-00713,BLR,SKU-005,2025-02-18 01:20:07,2025-02-18 03:30:52,2025-02-18 05:22:41,2025-02-18 07:14:31,2025-02-18 09:23:29,2025-02-18 09:06:29,Shift B,Team 1
ORD-736171,SHP-00714,MUM,SKU-015,2024-12-25 01:24:04,2024-12-25 02:56:37,2024-12-25 05:11:21,2024-12-25 07:26:06,2024-12-25 08:26:04,2024-12-25 08:08:04,Shift A,Team 2
ORD-737813,SHP-00715,BLR,SKU-001,2024-12-06 00:33:40,2024-12-06 01:36:05,2024-12-06 03:59:20,2024-12-06 06:22:36,2024-12-06 09:44:21,2024-12-06 09:19:21,Shift B,Team 3
ORD-353925,SHP-00716,MUM,SKU-014,2024-12-15 01:24:39,2024-12-15 02:45:57,2024-12-15 03:59:48,2024-12-15 05:13:38,2024-12-15 07:01:28,2024-12-15 06:42:28,Shift A,Team 3
ORD-281811,SHP-00717,BLR,SKU-010,2024-12-21 00:35:13,2024-12-21 03:02:12,2024-12-21 04:12:27,2024-12-21 05:22:41,2024-12-21 09:13:22,2024-12-21 09:06:22,Shift A,Team 3
ORD-302576,SHP-00718,BLR,SKU-020,2024-12-15 00:45:43,2024-12-15 02:30:55,2024-12-15 04:03:56,2024-12-15 05:36:58,2024-12-15 07:38:34,2024-12-15 07:19:34,Shift B,Team 1
ORD-521084,SHP-00719,MUM,SKU-026,2024-12-26 00:55:56,2024-12-26 02:11:46,2024-12-26 03:53:19,2024-12-26 05:34:52,2024-12-26 07:15:41,2024-12-26 07:06:41,Shift A,Team 1
ORD-772256,SHP-00720,BLR,SKU-026,2025-02-16 01:19:09,2025-02-16 02:29:36,2025-02-16 03:40:05,2025-02-16 04:50:34,2025-02-16 07:29:46,2025-02-16 07:07:46,Shift B,Team 2
ORD-165821,SHP-00721,MUM,SKU-013,2024-11-21 01:12:27,2024-11-21 02:57:41,2024-11-21 05:27:08,2024-11-21 07:56:35,2024-11-21 07:52:11,2024-11-21 07:35:11,Shift B,Team 1
ORD-947739,SHP-00722,BLR,SKU-014,2024-12-13 00:32:03,2024-12-13 02:27:41,2024-12-13 04:53:15,2024-12-13 07:18:49,2024-12-13 08:38:06,2024-12-13 08:36:06,Shift B,Team 2
ORD-658706,SHP-00723,BLR,SKU-025,2024-10-11 01:04:42,2024-10-11 03:05:40,2024-10-11 04:32:51,2024-10-11 06:00:02,2024-10-11 07:33:53,2024-10-11 07:30:53,Shift A,Team 3
